episode,seed,score,steps,total_reward,mean_score_50,mean_survival_50,eval_mean_score,eval_mean_survival,eval_success_rate,curriculum_stage,wall_time_s
1,44,20,5000,24.999000000001576,20.0,5000.0,,,,0,8.2
2,45,20,5000,24.999000000001576,20.0,5000.0,,,,0,15.2
3,46,20,5000,24.999000000001576,20.0,5000.0,,,,0,23.3
4,47,3,989,2.987999999999927,15.75,3997.25,,,,0,24.8
5,48,20,5000,24.999000000001576,16.6,4197.8,,,,0,32.6
6,49,20,5000,24.999000000001576,17.166666666666668,4331.5,,,,0,40.4
7,50,20,5000,24.999000000001576,17.571428571428573,4427.0,,,,0,48.2
8,51,20,5000,24.999000000001576,17.875,4498.625,,,,0,55.4
9,52,20,5000,24.999000000001576,18.11111111111111,4554.333333333333,,,,0,63.3
10,53,14,3653,16.65199999999993,17.7,4464.2,,,,0,70.9
11,54,20,5000,24.999000000001576,17.90909090909091,4512.909090909091,,,,0,82.6
12,55,20,5000,24.999000000001576,18.083333333333332,4553.5,,,,0,94.9
13,56,20,5000,24.999000000001576,18.23076923076923,4587.846153846154,,,,0,104.1
14,57,20,5000,24.999000000001576,18.357142857142858,4617.285714285715,,,,0,111.2
15,58,20,5000,24.999000000001576,18.466666666666665,4642.8,,,,0,118.2
16,59,20,5000,24.999000000001576,18.5625,4665.125,,,,0,126.2
17,60,3,808,2.806999999999947,17.647058823529413,4438.235294117647,,,,0,127.3
18,61,20,4885,23.884000000001436,17.77777777777778,4463.055555555556,,,,0,134.3
19,62,20,5000,24.999000000001576,17.894736842105264,4491.315789473684,,,,0,142.9
20,63,20,5000,24.999000000001576,18.0,4516.75,,,,0,149.8
21,64,20,5000,24.999000000001576,18.095238095238095,4539.761904761905,,,,0,156.3
22,65,20,5000,24.999000000001576,18.181818181818183,4560.681818181818,,,,0,164.0
23,66,20,5000,24.999000000001576,18.26086956521739,4579.782608695652,,,,0,170.9
24,67,11,2909,12.907999999999547,17.958333333333332,4510.166666666667,,,,0,175.2
25,68,20,5000,24.999000000001576,18.04,4529.76,,,,0,182.4
26,69,20,5000,24.999000000001576,18.115384615384617,4547.846153846154,,,,0,190.9
27,70,19,4876,22.875000000001425,18.14814814814815,4560.0,,,,0,198.4
28,71,20,5000,24.999000000001576,18.214285714285715,4575.714285714285,,,,0,206.0
29,72,20,5000,24.999000000001576,18.275862068965516,4590.3448275862065,,,,0,213.5
30,73,20,5000,24.999000000001576,18.333333333333332,4604.0,,,,0,221.7
31,74,20,5000,24.999000000001576,18.387096774193548,4616.774193548387,,,,0,231.1
32,75,20,5000,24.999000000001576,18.4375,4628.75,,,,0,239.3
33,76,20,5000,24.999000000001576,18.484848484848484,4640.0,,,,0,247.5
34,77,20,5000,24.999000000001576,18.529411764705884,4650.588235294118,,,,0,256.8
35,78,20,5000,24.999000000001576,18.571428571428573,4660.571428571428,,,,0,264.4
36,79,20,5000,24.999000000001576,18.61111111111111,4670.0,,,,0,271.8
37,80,20,5000,24.999000000001576,18.64864864864865,4678.918918918919,,,,0,280.5
38,81,20,5000,24.999000000001576,18.68421052631579,4687.368421052632,,,,0,288.9
39,82,20,5000,24.999000000001576,18.71794871794872,4695.384615384615,,,,0,296.6
40,83,20,5000,24.999000000001576,18.75,4703.0,,,,0,305.7
41,84,20,5000,24.999000000001576,18.78048780487805,4710.243902439024,,,,0,313.7
42,85,20,5000,24.999000000001576,18.80952380952381,4717.142857142857,,,,0,322.1
43,86,20,5000,24.999000000001576,18.837209302325583,4723.720930232558,,,,0,329.8
44,87,20,5000,24.999000000001576,18.863636363636363,4730.0,,,,0,338.4
45,88,20,5000,24.999000000001576,18.88888888888889,4736.0,,,,0,346.0
46,89,20,5000,24.999000000001576,18.91304347826087,4741.739130434783,,,,0,353.3
47,90,20,5000,24.999000000001576,18.93617021276596,4747.234042553191,,,,0,360.8
48,91,12,3149,14.147999999999413,18.791666666666668,4713.9375,,,,0,366.6
