episode,seed,score,steps,total_reward,mean_score_50,mean_survival_50,eval_mean_score,eval_mean_survival,eval_success_rate,curriculum_stage,wall_time_s
1,46,20,5000,24.999000000001576,20.0,5000.0,,,,0,7.8
2,47,6,1709,6.708000000000161,13.0,3354.5,,,,0,10.8
3,48,20,5000,24.999000000001576,15.333333333333334,3903.0,,,,0,18.5
4,49,20,5000,24.999000000001576,16.5,4177.25,,,,0,25.9
5,50,20,5000,24.999000000001576,17.2,4341.8,,,,0,33.9
6,51,20,5000,24.999000000001576,17.666666666666668,4451.5,,,,0,41.3
7,52,20,5000,24.999000000001576,18.0,4529.857142857143,,,,0,48.5
8,53,20,5000,24.999000000001576,18.25,4588.625,,,,0,55.4
9,54,20,5000,24.999000000001576,18.444444444444443,4634.333333333333,,,,0,63.1
10,55,20,5000,24.999000000001576,18.6,4670.9,,,,0,72.8
11,56,20,5000,24.999000000001576,18.727272727272727,4700.818181818182,,,,0,84.0
12,57,20,5000,24.999000000001576,18.833333333333332,4725.75,,,,0,96.1
13,58,20,5000,24.999000000001576,18.923076923076923,4746.846153846154,,,,0,103.3
14,59,20,5000,24.999000000001576,19.0,4764.928571428572,,,,0,110.1
15,60,20,5000,24.999000000001576,19.066666666666666,4780.6,,,,0,116.0
16,61,20,5000,24.999000000001576,19.125,4794.3125,,,,0,121.8
17,62,20,5000,24.999000000001576,19.176470588235293,4806.411764705882,,,,0,127.4
18,63,20,5000,24.999000000001576,19.22222222222222,4817.166666666667,,,,0,133.2
19,64,5,1492,5.4910000000000885,18.473684210526315,4642.1578947368425,,,,0,135.0
20,65,20,5000,24.999000000001576,18.55,4660.05,,,,0,141.2
21,66,20,5000,24.999000000001576,18.61904761904762,4676.238095238095,,,,0,147.2
22,67,11,2927,12.925999999999537,18.272727272727273,4596.727272727273,,,,0,150.2
23,68,20,5000,24.999000000001576,18.347826086956523,4614.260869565217,,,,0,155.4
24,69,20,5000,24.999000000001576,18.416666666666668,4630.333333333333,,,,0,160.7
25,70,20,5000,24.999000000001576,18.48,4645.12,,,,0,166.1
26,71,20,5000,24.999000000001576,18.53846153846154,4658.7692307692305,,,,0,171.8
27,72,20,5000,24.999000000001576,18.59259259259259,4671.407407407408,,,,0,177.7
28,73,20,5000,24.999000000001576,18.642857142857142,4683.142857142857,,,,0,183.5
29,74,6,1721,6.720000000000165,18.20689655172414,4581.0,,,,0,185.4
30,75,20,5000,24.999000000001576,18.266666666666666,4594.966666666666,,,,0,191.2
31,76,20,5000,24.999000000001576,18.322580645161292,4608.032258064516,,,,0,197.2
32,77,20,5000,24.999000000001576,18.375,4620.28125,,,,0,203.3
33,78,20,5000,24.999000000001576,18.424242424242426,4631.787878787879,,,,0,208.9
34,79,20,5000,24.999000000001576,18.470588235294116,4642.617647058823,,,,0,215.5
35,80,20,5000,24.999000000001576,18.514285714285716,4652.828571428571,,,,0,222.1
36,81,20,5000,24.999000000001576,18.555555555555557,4662.472222222223,,,,0,229.0
37,82,20,5000,24.999000000001576,18.594594594594593,4671.594594594595,,,,0,235.7
38,83,20,5000,24.999000000001576,18.63157894736842,4680.236842105263,,,,0,242.8
39,84,20,5000,24.999000000001576,18.666666666666668,4688.4358974358975,,,,0,249.3
40,85,20,5000,24.999000000001576,18.7,4696.225,,,,0,256.2
41,86,20,5000,24.999000000001576,18.73170731707317,4703.634146341464,,,,0,262.4
42,87,20,5000,24.999000000001576,18.761904761904763,4710.690476190476,,,,0,268.3
43,88,20,5000,24.999000000001576,18.790697674418606,4717.418604651163,,,,0,274.6
44,89,20,5000,24.999000000001576,18.818181818181817,4723.840909090909,,,,0,281.0
45,90,20,5000,24.999000000001576,18.844444444444445,4729.977777777778,,,,0,287.8
46,91,20,5000,24.999000000001576,18.869565217391305,4735.847826086957,,,,0,294.1
47,92,20,5000,24.999000000001576,18.893617021276597,4741.468085106383,,,,0,300.4
48,93,20,5000,24.999000000001576,18.916666666666668,4746.854166666667,,,,0,306.8
49,94,20,5000,24.999000000001576,18.93877551020408,4752.0204081632655,,,,0,313.3
50,95,20,5000,24.999000000001576,18.96,4756.98,,,,0,319.6
51,96,20,5000,24.999000000001576,18.96,4756.98,,,,0,326.6
52,97,20,5000,24.999000000001576,19.24,4822.8,,,,0,332.2
53,98,20,5000,24.999000000001576,19.24,4822.8,,,,0,338.4
54,99,6,1762,6.761000000000179,18.96,4758.04,,,,0,340.4
55,100,20,5000,24.999000000001576,18.96,4758.04,,,,0,346.5
56,101,20,5000,24.999000000001576,18.96,4758.04,,,,0,352.3
57,102,20,5000,24.999000000001576,18.96,4758.04,,,,0,358.5
58,103,20,5000,24.999000000001576,18.96,4758.04,,,,0,365.0
59,104,20,5000,24.999000000001576,18.96,4758.04,,,,0,371.6
