episode,score,steps,total_reward,mean_score_50,eval_mean_score,eval_success_rate,wall_time_s
119,2,446,1.444999999999975,1.22,,,405.6
120,0,179,-0.8219999999999998,1.22,,,405.7
121,1,313,0.3119999999999896,1.18,,,405.9
122,1,313,0.3119999999999896,1.18,,,406.0
123,1,332,0.3309999999999875,1.14,,,406.2
124,1,313,0.3119999999999896,1.16,,,406.4
125,0,179,-0.8219999999999998,1.14,,,406.5
126,1,313,0.3119999999999896,1.1,,,406.7
127,0,179,-0.8219999999999998,1.08,,,406.8
128,0,179,-0.8219999999999998,1.08,,,406.9
129,0,183,-0.8179999999999998,1.06,,,407.0
130,0,183,-0.8179999999999998,1.06,,,407.1
131,0,189,-0.8119999999999998,1.04,,,407.2
132,1,313,0.3119999999999896,1.06,,,407.4
133,3,50000,52.998999999967424,1.08,,,435.2
134,1,313,0.3119999999999896,1.04,,,435.4
135,1,336,0.3349999999999871,1.06,,,435.6
136,1,313,0.3119999999999896,1.04,,,435.7
137,1,332,0.3309999999999875,1.04,,,435.9
138,0,192,-0.8089999999999998,1.02,,,436.0
139,2,481,1.4799999999999711,1.02,,,436.3
140,0,185,-0.8159999999999998,1.02,,,436.4
141,2,478,1.4769999999999714,1.02,,,436.7
142,0,179,-0.8219999999999998,1.0,,,436.8
143,0,183,-0.8179999999999998,0.98,,,436.9
144,0,179,-0.8219999999999998,0.98,,,437.0
145,1,313,0.3119999999999896,0.98,,,437.2
146,0,179,-0.8219999999999998,0.98,,,437.3
147,3,50000,52.998999999967424,1.0,,,466.3
148,1,313,0.3119999999999896,0.98,,,466.5
149,3,50000,52.998999999967424,1.0,,,496.5
150,3,50000,52.998999999967424,1.06,,,523.8
151,1,315,0.3139999999999894,1.08,,,524.0
152,2,466,1.4649999999999728,1.1,,,524.3
153,0,190,-0.8109999999999998,1.08,,,524.4
154,1,330,0.32899999999998775,1.08,,,524.6
155,2,454,1.452999999999974,1.08,,,524.8
156,1,325,0.3239999999999883,1.1,,,525.0
157,3,50000,52.998999999967424,1.16,,,552.4
158,1,344,0.3429999999999862,1.18,,,552.6
159,3,50000,52.998999999967424,1.22,,,579.9
160,0,179,-0.8219999999999998,1.18,,,580.0
161,0,181,-0.8199999999999998,1.14,,,580.1
162,0,188,-0.8129999999999998,1.1,,,580.2
163,1,313,0.3119999999999896,1.12,,,580.4
164,1,318,0.31699999999998907,1.08,,,580.6
165,0,210,-0.7909999999999998,1.08,,,580.7
166,3,50000,52.998999999967424,1.1,,,610.8
167,0,184,-0.8169999999999998,1.04,,,610.9
168,3,50000,52.998999999967424,1.04,,,639.0
169,3,50000,52.998999999967424,1.06,,,666.2
170,1,315,0.3139999999999894,1.08,,,666.4
171,3,50000,52.998999999967424,1.12,,,695.9
172,3,50000,52.998999999967424,1.16,,,724.6
173,1,313,0.3119999999999896,1.16,,,724.7
174,2,446,1.444999999999975,1.18,,,725.0
175,1,335,0.3339999999999872,1.2,,,725.2
176,1,317,0.3159999999999892,1.2,,,725.3
177,2,353,1.3519999999999852,1.24,,,725.5
178,1,313,0.3119999999999896,1.26,,,725.7
179,1,343,0.3419999999999863,1.28,,,725.9
180,0,179,-0.8219999999999998,1.28,,,726.0
181,1,318,0.31699999999998907,1.3,,,726.2
182,2,351,1.3499999999999854,1.32,,,726.4
183,1,338,0.33699999999998687,1.28,,,726.6
184,0,186,-0.8149999999999998,1.26,,,726.7
185,3,50000,52.998999999967424,1.3,,,754.4
186,3,50000,52.998999999967424,1.34,,,782.6
187,3,50000,52.998999999967424,1.38,,,809.9
188,0,179,-0.8219999999999998,1.38,,,810.0
189,3,50000,52.998999999967424,1.4,,,838.0
190,2,446,1.444999999999975,1.44,,,838.3
191,0,190,-0.8109999999999998,1.4,,,838.4
192,3,50000,52.998999999967424,1.46,,,866.1
193,0,188,-0.8129999999999998,1.46,,,866.2
194,1,332,0.3309999999999875,1.48,,,866.4
195,1,313,0.3119999999999896,1.48,,,866.5
196,2,352,1.3509999999999853,1.52,,,866.7
197,0,179,-0.8219999999999998,1.46,,,866.8
198,1,318,0.31699999999998907,1.46,,,867.0
199,0,211,-0.7899999999999998,1.4,,,867.1
200,0,195,-0.8059999999999998,1.34,0.7,0.45,904.5
201,0,202,-0.7989999999999998,1.32,,,904.6
202,0,179,-0.8219999999999998,1.28,,,904.7
203,2,459,1.4579999999999735,1.32,,,905.0
204,0,179,-0.8219999999999998,1.3,,,905.1
205,2,446,1.444999999999975,1.3,,,905.3
206,2,448,1.4469999999999748,1.32,,,905.6
207,0,179,-0.8219999999999998,1.26,,,905.7
208,3,50000,52.998999999967424,1.3,,,932.6
209,3,50000,52.998999999967424,1.3,,,960.7
210,1,316,0.3149999999999893,1.32,,,960.9
211,2,450,1.4489999999999745,1.36,,,961.1
212,0,192,-0.8089999999999998,1.36,,,961.2
213,1,318,0.31699999999998907,1.36,,,961.4
214,1,331,0.32999999999998764,1.36,,,961.6
215,2,446,1.444999999999975,1.4,,,961.8
216,1,219,0.21799999999999997,1.36,,,962.0
217,0,212,-0.7889999999999998,1.36,,,962.1
218,3,50000,52.998999999967424,1.36,,,989.6
219,0,187,-0.8139999999999998,1.3,,,989.8
220,1,313,0.3119999999999896,1.3,,,989.9
221,1,313,0.3119999999999896,1.26,,,990.1
222,2,446,1.444999999999975,1.24,,,990.4
223,1,313,0.3119999999999896,1.24,,,990.5
224,0,185,-0.8159999999999998,1.2,,,990.7
225,1,313,0.3119999999999896,1.2,,,990.8
226,1,314,0.3129999999999895,1.2,,,991.0
227,3,50000,52.998999999967424,1.22,,,1019.4
228,2,458,1.4569999999999736,1.24,,,1019.7
229,2,446,1.444999999999975,1.26,,,1020.0
230,2,456,1.4549999999999739,1.3,,,1020.2
231,0,184,-0.8169999999999998,1.28,,,1020.3
232,0,197,-0.8039999999999998,1.24,,,1020.4
233,0,185,-0.8159999999999998,1.22,,,1020.5
234,0,184,-0.8169999999999998,1.22,,,1020.6
235,1,319,0.31799999999998896,1.18,,,1020.8
236,1,313,0.3119999999999896,1.14,,,1021.0
237,0,179,-0.8219999999999998,1.08,,,1021.1
238,1,313,0.3119999999999896,1.1,,,1021.3
239,1,332,0.3309999999999875,1.06,,,1021.5
240,1,313,0.3119999999999896,1.04,,,1021.7
241,1,313,0.3119999999999896,1.06,,,1021.9
242,1,318,0.31699999999998907,1.02,,,1022.1
243,0,189,-0.8119999999999998,1.02,,,1022.2
244,2,354,1.352999999999985,1.04,,,1022.4
245,0,189,-0.8119999999999998,1.02,,,1022.5
246,1,313,0.3119999999999896,1.0,,,1022.6
247,1,313,0.3119999999999896,1.02,,,1022.8
248,1,313,0.3119999999999896,1.02,,,1023.0
249,0,179,-0.8219999999999998,1.02,,,1023.1
250,1,221,0.21999999999999975,1.04,,,1023.3
251,3,50000,52.998999999967424,1.1,,,1050.7
252,0,179,-0.8219999999999998,1.1,,,1050.8
253,1,313,0.3119999999999896,1.08,,,1051.0
254,3,50000,52.998999999967424,1.14,,,1080.0
255,0,179,-0.8219999999999998,1.1,,,1080.1
256,0,179,-0.8219999999999998,1.06,,,1080.2
257,0,200,-0.8009999999999998,1.06,,,1080.3
258,3,50000,52.998999999967424,1.06,,,1109.1
259,1,333,0.3319999999999874,1.02,,,1109.3
260,1,331,0.32999999999998764,1.02,,,1109.5
261,0,184,-0.8169999999999998,0.98,,,1109.6
262,2,446,1.444999999999975,1.02,,,1109.8
263,2,459,1.4579999999999735,1.04,,,1110.1
264,0,191,-0.8099999999999998,1.02,,,1110.2
265,0,185,-0.8159999999999998,0.98,,,1110.3
266,0,179,-0.8219999999999998,0.96,,,1110.4
267,1,313,0.3119999999999896,0.98,,,1110.6
268,0,190,-0.8109999999999998,0.92,,,1110.7
269,0,179,-0.8219999999999998,0.92,,,1110.8
270,1,332,0.3309999999999875,0.92,,,1111.0
271,1,313,0.3119999999999896,0.92,,,1111.2
272,1,320,0.31899999999998885,0.9,,,1111.3
273,2,459,1.4579999999999735,0.92,,,1111.6
274,1,313,0.3119999999999896,0.94,,,1111.8
275,1,313,0.3119999999999896,0.94,,,1112.0
276,1,347,0.3459999999999859,0.94,,,1112.2
277,0,185,-0.8159999999999998,0.88,,,1112.3
278,3,50000,52.998999999967424,0.9,,,1140.8
279,2,446,1.444999999999975,0.9,,,1141.1
280,2,453,1.4519999999999742,0.9,,,1141.3
281,0,179,-0.8219999999999998,0.9,,,1141.4
282,0,189,-0.8119999999999998,0.9,,,1141.5
283,1,313,0.3119999999999896,0.92,,,1141.7
284,0,179,-0.8219999999999998,0.92,,,1141.8
285,1,315,0.3139999999999894,0.92,,,1142.0
286,1,313,0.3119999999999896,0.92,,,1142.2
287,0,179,-0.8219999999999998,0.92,,,1142.3
288,3,50000,52.998999999967424,0.96,,,1171.7
289,1,332,0.3309999999999875,0.96,,,1171.8
290,0,189,-0.8119999999999998,0.94,,,1171.9
291,3,50000,52.998999999967424,0.98,,,1200.4
292,2,472,1.470999999999972,1.0,,,1200.7
293,0,195,-0.8059999999999998,1.0,,,1200.8
294,1,313,0.3119999999999896,0.98,,,1201.0
295,0,192,-0.8089999999999998,0.98,,,1201.1
296,3,50000,52.998999999967424,1.02,,,1230.5
297,0,188,-0.8129999999999998,1.0,,,1230.6
298,1,346,0.344999999999986,1.0,,,1230.8
299,2,351,1.3499999999999854,1.04,,,1231.0
300,2,481,1.4799999999999711,1.06,0.55,0.3,1268.3
301,0,214,-0.7869999999999998,1.0,,,1268.4
302,1,313,0.3119999999999896,1.02,,,1268.6
303,1,330,0.32899999999998775,1.02,,,1268.8
304,2,446,1.444999999999975,1.0,,,1269.1
305,0,194,-0.8069999999999998,1.0,,,1269.2
306,0,191,-0.8099999999999998,1.0,,,1269.3
307,0,192,-0.8089999999999998,1.0,,,1269.4
308,1,313,0.3119999999999896,0.96,,,1269.6
309,2,446,1.444999999999975,0.98,,,1269.9
310,0,210,-0.7909999999999998,0.96,,,1270.0
311,1,313,0.3119999999999896,0.98,,,1270.2
312,3,50000,52.998999999967424,1.0,,,1299.2
313,0,193,-0.8079999999999998,0.96,,,1299.3
314,1,340,0.33899999999998665,0.98,,,1299.5
315,2,477,1.4759999999999716,1.02,,,1299.8
316,2,354,1.352999999999985,1.06,,,1300.0
317,0,207,-0.7939999999999998,1.04,,,1300.1
318,0,195,-0.8059999999999998,1.04,,,1300.3
319,2,479,1.4779999999999713,1.08,,,1300.5
320,0,207,-0.7939999999999998,1.06,,,1300.6
321,3,50000,52.998999999967424,1.1,,,1331.0
322,0,179,-0.8219999999999998,1.08,,,1331.1
323,2,446,1.444999999999975,1.08,,,1331.4
324,0,179,-0.8219999999999998,1.06,,,1331.5
325,0,179,-0.8219999999999998,1.04,,,1331.6
326,0,179,-0.8219999999999998,1.02,,,1331.7
327,1,313,0.3119999999999896,1.04,,,1331.9
328,1,325,0.3239999999999883,1.0,,,1332.1
329,3,50000,52.998999999967424,1.02,,,1359.5
330,2,446,1.444999999999975,1.02,,,1359.8
331,1,336,0.3349999999999871,1.04,,,1360.0
332,0,179,-0.8219999999999998,1.04,,,1360.1
333,3,50000,52.998999999967424,1.08,,,1387.4
334,2,459,1.4579999999999735,1.12,,,1387.6
335,2,446,1.444999999999975,1.14,,,1387.9
336,1,335,0.3339999999999872,1.14,,,1388.1
337,3,50000,52.998999999967424,1.2,,,1416.7
338,1,313,0.3119999999999896,1.16,,,1416.9
339,0,194,-0.8069999999999998,1.14,,,1417.0
340,0,206,-0.7949999999999998,1.14,,,1417.1
341,0,179,-0.8219999999999998,1.08,,,1417.2
342,2,447,1.4459999999999749,1.08,,,1417.5
343,2,482,1.480999999999971,1.12,,,1417.8
344,0,184,-0.8169999999999998,1.1,,,1417.9
345,0,186,-0.8149999999999998,1.1,,,1418.0
346,0,181,-0.8199999999999998,1.04,,,1418.1
347,0,179,-0.8219999999999998,1.04,,,1418.2
348,0,204,-0.7969999999999998,1.02,,,1418.3
349,0,179,-0.8219999999999998,0.98,,,1418.4
350,0,185,-0.8159999999999998,0.94,,,1418.5
351,1,313,0.3119999999999896,0.96,,,1418.7
352,1,313,0.3119999999999896,0.96,,,1418.9
353,0,179,-0.8219999999999998,0.94,,,1419.0
354,1,313,0.3119999999999896,0.92,,,1419.1
355,0,179,-0.8219999999999998,0.92,,,1419.2
356,1,319,0.31799999999998896,0.94,,,1419.4
357,2,454,1.452999999999974,0.98,,,1419.7
358,1,338,0.33699999999998687,0.98,,,1419.9
359,3,50000,52.998999999967424,1.0,,,1448.2
360,0,192,-0.8089999999999998,1.0,,,1448.3
361,0,179,-0.8219999999999998,0.98,,,1448.4
362,0,187,-0.8139999999999998,0.92,,,1448.5
363,0,183,-0.8179999999999998,0.92,,,1448.6
364,0,186,-0.8149999999999998,0.9,,,1448.7
365,0,186,-0.8149999999999998,0.86,,,1448.8
366,1,331,0.32999999999998764,0.84,,,1449.0
367,2,446,1.444999999999975,0.88,,,1449.3
368,1,220,0.21899999999999986,0.9,,,1449.4
369,0,179,-0.8219999999999998,0.86,,,1449.5
370,3,50000,52.998999999967424,0.92,,,1476.9
371,0,208,-0.7929999999999998,0.86,,,1477.0
372,0,189,-0.8119999999999998,0.86,,,1477.1
373,0,203,-0.7979999999999998,0.82,,,1477.2
374,0,196,-0.8049999999999998,0.82,,,1477.3
375,3,50000,52.998999999967424,0.88,,,1504.9
376,3,50000,52.998999999967424,0.94,,,1533.7
377,3,50000,52.998999999967424,0.98,,,1562.4
378,0,192,-0.8089999999999998,0.96,,,1562.5
379,0,192,-0.8089999999999998,0.9,,,1562.7
380,2,477,1.4759999999999716,0.9,,,1562.9
381,1,333,0.3319999999999874,0.9,,,1563.1
382,1,318,0.31699999999998907,0.92,,,1563.3
383,0,184,-0.8169999999999998,0.86,,,1563.4
384,1,320,0.31899999999998885,0.84,,,1563.6
385,0,187,-0.8139999999999998,0.8,,,1563.7
386,0,187,-0.8139999999999998,0.78,,,1563.8
387,1,348,0.34699999999998576,0.74,,,1564.0
388,0,189,-0.8119999999999998,0.72,,,1564.1
389,0,179,-0.8219999999999998,0.72,,,1564.2
390,2,446,1.444999999999975,0.76,,,1564.5
391,2,471,1.4699999999999722,0.8,,,1564.7
392,2,446,1.444999999999975,0.8,,,1565.0
393,2,458,1.4569999999999736,0.8,,,1565.2
394,3,50000,52.998999999967424,0.86,,,1593.6
395,0,185,-0.8159999999999998,0.86,,,1593.7
396,1,313,0.3119999999999896,0.88,,,1593.9
397,1,349,0.34799999999998565,0.9,,,1594.1
398,0,179,-0.8219999999999998,0.9,,,1594.2
399,0,179,-0.8219999999999998,0.9,,,1594.3
400,2,446,1.444999999999975,0.94,0.2,0.2,1596.3
401,0,179,-0.8219999999999998,0.92,,,1596.4
402,1,332,0.3309999999999875,0.92,,,1596.6
403,1,313,0.3119999999999896,0.94,,,1596.8
404,2,446,1.444999999999975,0.96,,,1597.1
405,3,50000,52.998999999967424,1.02,,,1626.9
406,0,179,-0.8219999999999998,1.0,,,1627.0
407,1,313,0.3119999999999896,0.98,,,1627.2
408,1,313,0.3119999999999896,0.98,,,1627.3
409,1,313,0.3119999999999896,0.94,,,1627.5
410,0,179,-0.8219999999999998,0.94,,,1627.6
411,2,446,1.444999999999975,0.98,,,1627.9
412,0,209,-0.7919999999999998,0.98,,,1628.0
413,3,50000,52.998999999967424,1.04,,,1657.5
414,3,50000,52.998999999967424,1.1,,,1687.3
415,2,446,1.444999999999975,1.14,,,1687.5
416,3,50000,52.998999999967424,1.18,,,1716.6
417,1,313,0.3119999999999896,1.16,,,1716.7
418,0,179,-0.8219999999999998,1.14,,,1716.8
419,0,183,-0.8179999999999998,1.14,,,1716.9
420,1,314,0.3129999999999895,1.1,,,1717.1
421,1,313,0.3119999999999896,1.12,,,1717.3
422,1,313,0.3119999999999896,1.14,,,1717.5
423,0,199,-0.8019999999999998,1.14,,,1717.6
424,0,202,-0.7989999999999998,1.14,,,1717.7
425,0,196,-0.8049999999999998,1.08,,,1717.8
426,2,446,1.444999999999975,1.06,,,1718.1
427,2,458,1.4569999999999736,1.04,,,1718.3
428,1,330,0.32899999999998775,1.06,,,1718.5
429,1,313,0.3119999999999896,1.08,,,1718.7
430,2,455,1.453999999999974,1.08,,,1719.0
431,1,333,0.3319999999999874,1.08,,,1719.1
432,1,313,0.3119999999999896,1.08,,,1719.3
433,0,179,-0.8219999999999998,1.08,,,1719.4
434,0,179,-0.8219999999999998,1.06,,,1719.5
435,2,446,1.444999999999975,1.1,,,1719.8
436,2,446,1.444999999999975,1.14,,,1720.0
437,0,191,-0.8099999999999998,1.12,,,1720.1
438,3,50000,52.998999999967424,1.18,,,1749.0
439,2,446,1.444999999999975,1.22,,,1749.3
440,2,350,1.3489999999999855,1.22,,,1749.5
441,0,179,-0.8219999999999998,1.18,,,1749.6
442,0,179,-0.8219999999999998,1.14,,,1749.7
443,1,321,0.31999999999998874,1.12,,,1749.9
444,1,343,0.3419999999999863,1.08,,,1750.1
445,1,313,0.3119999999999896,1.1,,,1750.2
446,0,184,-0.8169999999999998,1.08,,,1750.3
447,0,179,-0.8219999999999998,1.06,,,1750.4
448,0,207,-0.7939999999999998,1.06,,,1750.6
449,1,314,0.3129999999999895,1.08,,,1750.7
450,0,189,-0.8119999999999998,1.04,,,1750.8
451,1,336,0.3349999999999871,1.06,,,1751.0
452,0,179,-0.8219999999999998,1.04,,,1751.1
453,2,458,1.4569999999999736,1.06,,,1751.4
454,1,313,0.3119999999999896,1.04,,,1751.6
455,0,189,-0.8119999999999998,0.98,,,1751.7
456,3,50000,52.998999999967424,1.04,,,1780.5
457,0,186,-0.8149999999999998,1.02,,,1780.6
458,0,184,-0.8169999999999998,1.0,,,1780.7
459,3,50000,52.998999999967424,1.04,,,1809.6
460,0,179,-0.8219999999999998,1.04,,,1809.7
461,1,313,0.3119999999999896,1.02,,,1809.9
462,0,179,-0.8219999999999998,1.02,,,1810.0
463,0,200,-0.8009999999999998,0.96,,,1810.1
464,1,219,0.21799999999999997,0.92,,,1810.2
465,0,188,-0.8129999999999998,0.88,,,1810.3
466,1,313,0.3119999999999896,0.84,,,1810.5
467,0,179,-0.8219999999999998,0.82,,,1810.6
468,3,50000,52.998999999967424,0.88,,,1838.5
469,3,50000,52.998999999967424,0.94,,,1865.7
470,2,472,1.470999999999972,0.96,,,1866.0
471,1,333,0.3319999999999874,0.96,,,1866.2
472,2,469,1.4679999999999724,0.98,,,1866.5
473,1,313,0.3119999999999896,1.0,,,1866.6
474,2,446,1.444999999999975,1.04,,,1866.9
475,3,50000,52.998999999967424,1.1,,,1894.3
476,1,328,0.32699999999998797,1.08,,,1894.5
477,1,314,0.3129999999999895,1.06,,,1894.7
478,2,471,1.4699999999999722,1.08,,,1895.0
479,1,333,0.3319999999999874,1.08,,,1895.1
480,0,179,-0.8219999999999998,1.04,,,1895.2
481,0,190,-0.8109999999999998,1.02,,,1895.4
482,3,50000,52.998999999967424,1.06,,,1922.2
483,0,216,-0.7849999999999998,1.06,,,1922.3
484,1,336,0.3349999999999871,1.08,,,1922.5
485,2,474,1.4729999999999719,1.08,,,1922.8
486,1,313,0.3119999999999896,1.06,,,1923.0
487,0,190,-0.8109999999999998,1.06,,,1923.1
488,1,313,0.3119999999999896,1.02,,,1923.2
489,3,50000,52.998999999967424,1.04,,,1951.0
490,0,179,-0.8219999999999998,1.0,,,1951.1
491,1,338,0.33699999999998687,1.02,,,1951.3
492,2,446,1.444999999999975,1.06,,,1951.5
493,1,333,0.3319999999999874,1.06,,,1951.7
494,0,179,-0.8219999999999998,1.04,,,1951.8
495,0,188,-0.8129999999999998,1.02,,,1951.9
496,2,353,1.3519999999999852,1.06,,,1952.1
497,0,179,-0.8219999999999998,1.06,,,1952.2
498,3,505,2.5039999999999685,1.12,,,1952.5
499,1,334,0.3329999999999873,1.12,,,1952.7
500,0,179,-0.8219999999999998,1.12,0.75,0.35,1993.2
