episode,seed,score,steps,total_reward,mean_score_50,mean_survival_50,eval_mean_score,eval_mean_survival,eval_success_rate,curriculum_stage,wall_time_s
1,100,12,3000,14.998999999999496,12.0,3000.0,,,,0,2.5
2,101,12,3000,14.998999999999496,12.0,3000.0,,,,0,5.0
3,102,0,269,-0.7319999999999998,8.0,2089.6666666666665,,,,0,5.2
4,103,12,3000,14.998999999999496,9.0,2317.25,,,,0,7.2
5,104,12,3000,14.998999999999496,9.6,2453.8,,,,0,8.9
6,105,12,3000,14.998999999999496,10.0,2544.8333333333335,,,,0,10.6
7,106,12,3000,14.998999999999496,10.285714285714286,2609.8571428571427,,,,0,12.3
8,107,12,3000,14.998999999999496,10.5,2658.625,,,,0,14.2
9,108,12,3000,14.998999999999496,10.666666666666666,2696.5555555555557,,,,0,15.9
10,109,12,3000,14.998999999999496,10.8,2726.9,,,,0,17.6
11,110,12,3000,14.998999999999496,10.909090909090908,2751.7272727272725,,,,0,19.3
12,111,12,3000,14.998999999999496,11.0,2772.4166666666665,,,,0,21.1
13,112,12,3000,14.998999999999496,11.076923076923077,2789.923076923077,,,,0,22.8
14,113,12,3000,14.998999999999496,11.142857142857142,2804.9285714285716,,,,0,24.5
15,114,12,3000,14.998999999999496,11.2,2817.9333333333334,,,,0,26.3
16,115,6,1528,6.5270000000001005,10.875,2737.3125,,,,0,27.1
17,116,12,3000,14.998999999999496,10.941176470588236,2752.764705882353,,,,0,28.9
18,117,12,3000,14.998999999999496,11.0,2766.5,,,,0,30.6
19,118,12,3000,14.998999999999496,11.052631578947368,2778.7894736842104,,,,0,32.3
20,119,12,3000,14.998999999999496,11.1,2789.85,,,,0,34.0
