episode,seed,score,steps,total_reward,mean_score_50,mean_survival_50,eval_mean_score,eval_mean_survival,eval_success_rate,curriculum_stage,wall_time_s
1,45,20,5000,24.999000000001576,20.0,5000.0,,,,0,8.7
2,46,20,5000,24.999000000001576,20.0,5000.0,,,,0,16.4
3,47,20,5000,24.999000000001576,20.0,5000.0,,,,0,23.4
4,48,20,5000,24.999000000001576,20.0,5000.0,,,,0,32.5
5,49,20,5000,24.999000000001576,20.0,5000.0,,,,0,40.4
6,50,20,5000,24.999000000001576,20.0,5000.0,,,,0,46.4
7,51,20,5000,24.999000000001576,20.0,5000.0,,,,0,52.1
8,52,20,5000,24.999000000001576,20.0,5000.0,,,,0,57.9
9,53,5,1475,5.474000000000083,18.333333333333332,4608.333333333333,,,,0,59.6
10,54,20,5000,24.999000000001576,18.5,4647.5,,,,0,67.3
11,55,20,5000,24.999000000001576,18.636363636363637,4679.545454545455,,,,0,75.5
12,56,20,5000,24.999000000001576,18.75,4706.25,,,,0,85.3
13,57,20,5000,24.999000000001576,18.846153846153847,4728.846153846154,,,,0,95.7
14,58,20,5000,24.999000000001576,18.928571428571427,4748.214285714285,,,,0,103.3
15,59,20,5000,24.999000000001576,19.0,4765.0,,,,0,108.9
16,60,20,5000,24.999000000001576,19.0625,4779.6875,,,,0,114.7
17,61,19,4872,22.87100000000142,19.058823529411764,4785.117647058823,,,,0,120.2
18,62,20,5000,24.999000000001576,19.11111111111111,4797.055555555556,,,,0,126.0
19,63,20,5000,24.999000000001576,19.157894736842106,4807.736842105263,,,,0,131.8
20,64,20,5000,24.999000000001576,19.2,4817.35,,,,0,138.0
21,65,20,5000,24.999000000001576,19.238095238095237,4826.047619047619,,,,0,144.3
22,66,20,5000,24.999000000001576,19.272727272727273,4833.954545454545,,,,0,149.5
23,67,11,2927,12.925999999999537,18.91304347826087,4751.04347826087,,,,0,152.5
24,68,20,5000,24.999000000001576,18.958333333333332,4761.416666666667,,,,0,157.7
25,69,9,2464,10.462999999999793,18.56,4669.52,,,,0,160.4
26,70,20,5000,24.999000000001576,18.615384615384617,4682.2307692307695,,,,0,165.8
27,71,20,5000,24.999000000001576,18.666666666666668,4694.0,,,,0,171.3
28,72,20,5000,24.999000000001576,18.714285714285715,4704.928571428572,,,,0,177.2
29,73,20,5000,24.999000000001576,18.75862068965517,4715.103448275862,,,,0,183.0
30,74,20,5000,24.999000000001576,18.8,4724.6,,,,0,188.7
31,75,20,5000,24.999000000001576,18.838709677419356,4733.4838709677415,,,,0,195.2
32,76,20,5000,24.999000000001576,18.875,4741.8125,,,,0,200.9
33,77,20,5000,24.999000000001576,18.90909090909091,4749.636363636364,,,,0,207.0
34,78,20,5000,24.999000000001576,18.941176470588236,4757.0,,,,0,213.1
35,79,20,5000,24.999000000001576,18.97142857142857,4763.942857142857,,,,0,220.1
36,80,20,5000,24.999000000001576,19.0,4770.5,,,,0,227.4
37,81,20,5000,24.999000000001576,19.027027027027028,4776.7027027027025,,,,0,234.1
38,82,20,5000,24.999000000001576,19.05263157894737,4782.578947368421,,,,0,241.5
39,83,20,5000,24.999000000001576,19.076923076923077,4788.153846153846,,,,0,248.1
40,84,20,5000,24.999000000001576,19.1,4793.45,,,,0,255.1
41,85,20,5000,24.999000000001576,19.121951219512194,4798.487804878048,,,,0,261.7
42,86,20,5000,24.999000000001576,19.142857142857142,4803.285714285715,,,,0,267.5
43,87,20,5000,24.999000000001576,19.162790697674417,4807.860465116279,,,,0,273.8
44,88,15,3869,17.868000000000194,19.068181818181817,4786.522727272727,,,,0,278.7
45,89,20,5000,24.999000000001576,19.08888888888889,4791.266666666666,,,,0,285.6
46,90,20,5000,24.999000000001576,19.108695652173914,4795.804347826087,,,,0,292.2
47,91,20,5000,24.999000000001576,19.127659574468087,4800.148936170212,,,,0,298.6
48,92,20,5000,24.999000000001576,19.145833333333332,4804.3125,,,,0,305.1
49,93,20,5000,24.999000000001576,19.163265306122447,4808.306122448979,,,,0,311.5
50,94,20,5000,24.999000000001576,19.18,4812.14,,,,0,317.8
51,95,20,5000,24.999000000001576,19.18,4812.14,,,,0,325.3
52,96,20,5000,24.999000000001576,19.18,4812.14,,,,0,330.8
53,97,20,5000,24.999000000001576,19.18,4812.14,,,,0,336.7
54,98,20,5000,24.999000000001576,19.18,4812.14,,,,0,343.1
55,99,20,5000,24.999000000001576,19.18,4812.14,,,,0,349.1
56,100,20,5000,24.999000000001576,19.18,4812.14,,,,0,355.0
57,101,20,5000,24.999000000001576,19.18,4812.14,,,,0,360.9
58,102,20,5000,24.999000000001576,19.18,4812.14,,,,0,367.8
