episode,seed,score,steps,total_reward,mean_score_50,mean_survival_50,eval_mean_score,eval_mean_survival,eval_success_rate,curriculum_stage,wall_time_s
1,43,20,5000,24.999000000001576,20.0,5000.0,,,,0,8.1
2,44,6,1709,6.708000000000161,13.0,3354.5,,,,0,10.9
3,45,20,5000,24.999000000001576,15.333333333333334,3903.0,,,,0,17.1
4,46,20,5000,24.999000000001576,16.5,4177.25,,,,0,25.3
5,47,20,5000,24.999000000001576,17.2,4341.8,,,,0,32.6
6,48,20,5000,24.999000000001576,17.666666666666668,4451.5,,,,0,40.1
7,49,20,5000,24.999000000001576,18.0,4529.857142857143,,,,0,47.5
8,50,20,5000,24.999000000001576,18.25,4588.625,,,,0,54.2
9,51,20,5000,24.999000000001576,18.444444444444443,4634.333333333333,,,,0,61.9
10,52,20,5000,24.999000000001576,18.6,4670.9,,,,0,71.8
11,53,20,5000,24.999000000001576,18.727272727272727,4700.818181818182,,,,0,82.8
12,54,20,5000,24.999000000001576,18.833333333333332,4725.75,,,,0,95.3
13,55,20,5000,24.999000000001576,18.923076923076923,4746.846153846154,,,,0,104.3
14,56,20,5000,24.999000000001576,19.0,4764.928571428572,,,,0,111.2
15,57,20,5000,24.999000000001576,19.066666666666666,4780.6,,,,0,119.1
16,58,20,5000,24.999000000001576,19.125,4794.3125,,,,0,126.4
17,59,20,5000,24.999000000001576,19.176470588235293,4806.411764705882,,,,0,135.1
18,60,20,5000,24.999000000001576,19.22222222222222,4817.166666666667,,,,0,142.7
19,61,20,5000,24.999000000001576,19.263157894736842,4826.789473684211,,,,0,148.3
20,62,20,5000,24.999000000001576,19.3,4835.45,,,,0,153.4
21,63,20,5000,24.999000000001576,19.333333333333332,4843.285714285715,,,,0,158.7
22,64,20,5000,24.999000000001576,19.363636363636363,4850.409090909091,,,,0,164.2
23,65,20,5000,24.999000000001576,19.391304347826086,4856.913043478261,,,,0,169.6
24,66,20,5000,24.999000000001576,19.416666666666668,4862.875,,,,0,175.5
25,67,20,5000,24.999000000001576,19.44,4868.36,,,,0,181.3
26,68,20,5000,24.999000000001576,19.46153846153846,4873.423076923077,,,,0,187.0
27,69,20,5000,24.999000000001576,19.48148148148148,4878.111111111111,,,,0,193.1
28,70,2,791,1.789999999999949,18.857142857142858,4732.142857142857,,,,0,194.3
29,71,20,5000,24.999000000001576,18.896551724137932,4741.379310344828,,,,0,199.7
30,72,20,5000,24.999000000001576,18.933333333333334,4750.0,,,,0,205.8
31,73,20,5000,24.999000000001576,18.967741935483872,4758.064516129032,,,,0,211.4
32,74,20,5000,24.999000000001576,19.0,4765.625,,,,0,218.1
33,75,20,5000,24.999000000001576,19.03030303030303,4772.727272727273,,,,0,224.5
34,76,20,5000,24.999000000001576,19.058823529411764,4779.411764705882,,,,0,231.2
35,77,20,5000,24.999000000001576,19.085714285714285,4785.714285714285,,,,0,237.9
36,78,20,5000,24.999000000001576,19.11111111111111,4791.666666666667,,,,0,244.9
37,79,2,764,1.762999999999952,18.64864864864865,4682.810810810811,,,,0,245.9
38,80,20,5000,24.999000000001576,18.68421052631579,4691.1578947368425,,,,0,252.8
39,81,20,5000,24.999000000001576,18.71794871794872,4699.076923076923,,,,0,259.1
40,82,20,5000,24.999000000001576,18.75,4706.6,,,,0,265.2
41,83,20,5000,24.999000000001576,18.78048780487805,4713.756097560976,,,,0,271.0
42,84,20,5000,24.999000000001576,18.80952380952381,4720.571428571428,,,,0,277.2
43,85,20,5000,24.999000000001576,18.837209302325583,4727.069767441861,,,,0,283.6
44,86,20,5000,24.999000000001576,18.863636363636363,4733.272727272727,,,,0,290.0
45,87,20,5000,24.999000000001576,18.88888888888889,4739.2,,,,0,296.1
46,88,20,5000,24.999000000001576,18.91304347826087,4744.869565217391,,,,0,302.3
47,89,20,5000,24.999000000001576,18.93617021276596,4750.297872340426,,,,0,308.6
48,90,20,5000,24.999000000001576,18.958333333333332,4755.5,,,,0,315.1
49,91,20,5000,24.999000000001576,18.979591836734695,4760.489795918367,,,,0,321.7
50,92,20,5000,24.999000000001576,19.0,4765.28,,,,0,328.2
51,93,20,5000,24.999000000001576,19.0,4765.28,,,,0,333.9
52,94,20,5000,24.999000000001576,19.28,4831.1,,,,0,340.1
53,95,20,5000,24.999000000001576,19.28,4831.1,,,,0,346.1
54,96,20,5000,24.999000000001576,19.28,4831.1,,,,0,351.8
55,97,20,5000,24.999000000001576,19.28,4831.1,,,,0,357.5
56,98,20,5000,24.999000000001576,19.28,4831.1,,,,0,363.5
57,99,20,5000,24.999000000001576,19.28,4831.1,,,,0,370.4
