episode,seed,score,steps,total_reward,mean_score_50,mean_survival_50,eval_mean_score,eval_mean_survival,eval_success_rate,curriculum_stage,wall_time_s
1,43,20,5000,24.999000000001576,20.0,5000.0,,,,0,8.9
2,44,6,1709,6.708000000000161,13.0,3354.5,,,,0,11.6
