episode,seed,score,steps,total_reward,mean_score_50,mean_survival_50,eval_mean_score,eval_mean_survival,eval_success_rate,curriculum_stage,wall_time_s
1,52,41,10000,50.99899999999463,41.0,10000.0,,,,0,14.9
2,53,22,5559,26.55800000000226,31.5,7779.5,,,,0,21.4
3,54,36,8909,43.90799999999717,33.0,8156.0,,,,0,31.9
4,55,24,5848,28.847000000002613,30.75,7579.0,,,,0,39.0
5,56,41,10000,50.99899999999463,32.8,8063.2,,,,0,51.7
6,57,41,10000,50.99899999999463,34.166666666666664,8386.0,,,,0,64.2
7,58,41,10000,50.99899999999463,35.142857142857146,8616.57142857143,,,,0,79.1
8,59,8,2231,9.229999999999922,31.75,7818.375,,,,0,82.3
9,60,41,10000,50.99899999999463,32.77777777777778,8060.777777777777,,,,0,97.4
10,61,19,4836,22.835000000001376,31.4,7738.3,,,,0,104.7
11,62,3,1006,3.004999999999927,28.818181818181817,7126.272727272727,,,,0,106.2
12,63,41,10000,50.99899999999463,29.833333333333332,7365.75,,,,0,121.3
13,64,1,331,0.3299999999999996,27.615384615384617,6824.615384615385,,,,0,121.8
14,65,41,10000,50.99899999999463,28.571428571428573,7051.428571428572,,,,0,134.4
15,66,6,1763,6.762000000000179,27.066666666666666,6698.866666666667,,,,0,136.5
16,67,11,2961,12.959999999999518,26.0625,6465.25,,,,0,140.0
17,68,41,10000,50.99899999999463,26.941176470588236,6673.176470588235,,,,0,152.0
18,69,41,10000,50.99899999999463,27.72222222222222,6858.0,,,,0,164.2
19,70,41,10000,50.99899999999463,28.42105263157895,7023.368421052632,,,,0,176.1
20,71,41,10000,50.99899999999463,29.05,7172.2,,,,0,188.4
21,72,41,10000,50.99899999999463,29.61904761904762,7306.857142857143,,,,0,200.8
22,73,20,5116,24.115000000001718,29.181818181818183,7207.272727272727,,,,0,207.0
23,74,6,1717,6.716000000000164,28.17391304347826,6968.565217391304,,,,0,209.1
24,75,41,10000,50.99899999999463,28.708333333333332,7094.875,,,,0,221.5
25,76,34,8288,41.28699999999862,28.92,7142.6,,,,0,231.8
26,77,41,10000,50.99899999999463,29.384615384615383,7252.5,,,,0,244.0
27,78,41,10000,50.99899999999463,29.814814814814813,7354.259259259259,,,,0,256.2
28,79,41,10000,50.99899999999463,30.214285714285715,7448.75,,,,0,268.4
29,80,41,10000,50.99899999999463,30.586206896551722,7536.724137931034,,,,0,281.0
30,81,41,10000,50.99899999999463,30.933333333333334,7618.833333333333,,,,0,293.1
31,82,41,10000,50.99899999999463,31.258064516129032,7695.645161290323,,,,0,305.3
32,83,6,1722,6.721000000000165,30.46875,7508.96875,,,,0,307.4
33,84,41,10000,50.99899999999463,30.78787878787879,7584.454545454545,,,,0,319.8
34,85,41,10000,50.99899999999463,31.08823529411765,7655.5,,,,0,332.3
35,86,41,10000,50.99899999999463,31.37142857142857,7722.4857142857145,,,,0,344.6
36,87,10,2687,11.68599999999967,30.77777777777778,7582.611111111111,,,,0,347.9
37,88,41,10000,50.99899999999463,31.054054054054053,7647.945945945946,,,,0,360.5
38,89,27,6792,32.79100000000211,30.94736842105263,7625.421052631579,,,,0,368.8
39,90,18,4593,21.59200000000108,30.615384615384617,7547.666666666667,,,,0,374.6
40,91,41,10000,50.99899999999463,30.875,7608.975,,,,0,387.0
41,92,41,10000,50.99899999999463,31.121951219512194,7667.292682926829,,,,0,399.5
42,93,24,6076,29.07500000000289,30.952380952380953,7629.4047619047615,,,,0,406.9
43,94,41,10000,50.99899999999463,31.186046511627907,7684.53488372093,,,,0,418.7
44,95,41,10000,50.99899999999463,31.40909090909091,7737.159090909091,,,,0,430.2
45,96,41,10000,50.99899999999463,31.622222222222224,7787.444444444444,,,,0,442.0
46,97,26,6530,31.529000000002718,31.5,7760.108695652174,,,,0,449.6
47,98,41,10000,50.99899999999463,31.70212765957447,7807.765957446809,,,,0,461.6
48,99,41,10000,50.99899999999463,31.895833333333332,7853.4375,,,,0,474.0
49,100,35,8684,42.6829999999977,31.959183673469386,7870.3877551020405,,,,0,484.6
50,101,41,10000,50.99899999999463,32.14,7912.98,,,,0,496.9
51,102,41,10000,50.99899999999463,32.14,7912.98,,,,0,509.2
52,103,41,10000,50.99899999999463,32.52,8001.8,,,,0,521.7
53,104,41,10000,50.99899999999463,32.62,8023.62,,,,0,534.2
54,105,41,10000,50.99899999999463,32.96,8106.66,,,,0,546.5
55,106,0,310,-0.6909999999999998,32.14,7912.86,,,,0,546.9
56,107,41,10000,50.99899999999463,32.14,7912.86,,,,0,559.4
57,108,41,10000,50.99899999999463,32.14,7912.86,,,,0,571.6
58,109,17,4355,20.354000000000788,32.32,7955.34,,,,0,578.2
59,110,41,10000,50.99899999999463,32.32,7955.34,,,,0,593.7
60,111,11,2935,12.933999999999532,32.16,7917.32,,,,0,598.4
61,112,10,2711,11.709999999999656,32.3,7951.42,,,,0,602.5
62,113,26,6532,31.531000000002713,32.0,7882.06,,,,0,611.9
63,114,28,7000,33.99900000000162,32.54,8015.44,,,,0,622.4
64,115,29,7245,35.24400000000105,32.3,7960.34,,,,0,633.4
65,116,41,10000,50.99899999999463,33.0,8125.08,,,,0,648.9
66,117,41,10000,50.99899999999463,33.6,8265.86,,,,0,664.1
67,118,41,10000,50.99899999999463,33.6,8265.86,,,,0,679.4
68,119,41,10000,50.99899999999463,33.6,8265.86,,,,0,695.0
69,120,41,10000,50.99899999999463,33.6,8265.86,,,,0,710.8
70,121,41,10000,50.99899999999463,33.6,8265.86,,,,0,726.1
71,122,30,7519,36.51800000000041,33.38,8216.24,,,,0,737.9
72,123,41,10000,50.99899999999463,33.8,8313.92,,,,0,753.4
73,124,41,10000,50.99899999999463,34.5,8479.58,,,,0,769.2
74,125,0,283,-0.7179999999999997,33.68,8285.24,,,,0,769.6
75,126,41,10000,50.99899999999463,33.82,8319.48,,,,0,785.1
76,127,41,10000,50.99899999999463,33.82,8319.48,,,,0,800.5
77,128,41,10000,50.99899999999463,33.82,8319.48,,,,0,816.0
78,129,41,10000,50.99899999999463,33.82,8319.48,,,,0,831.2
79,130,41,10000,50.99899999999463,33.82,8319.48,,,,0,847.0
