episode,seed,score,steps,total_reward,mean_score_50,mean_survival_50,eval_mean_score,eval_mean_survival,eval_success_rate,curriculum_stage,wall_time_s
1,43,12,3000,14.998999999999496,12.0,3000.0,,,,0,2.5
2,44,12,3000,14.998999999999496,12.0,3000.0,,,,0,5.3
3,45,12,3000,14.998999999999496,12.0,3000.0,,,,0,8.2
4,46,12,3000,14.998999999999496,12.0,3000.0,,,,0,10.7
5,47,12,3000,14.998999999999496,12.0,3000.0,,,,0,13.4
6,48,12,3000,14.998999999999496,12.0,3000.0,,,,0,16.1
7,49,12,3000,14.998999999999496,12.0,3000.0,,,,0,18.9
8,50,12,3000,14.998999999999496,12.0,3000.0,,,,0,21.7
9,51,12,3000,14.998999999999496,12.0,3000.0,,,,0,24.4
10,52,12,3000,14.998999999999496,12.0,3000.0,,,,0,27.1
11,53,12,3000,14.998999999999496,12.0,3000.0,,,,0,29.8
12,54,12,3000,14.998999999999496,12.0,3000.0,,,,0,32.5
13,55,12,3000,14.998999999999496,12.0,3000.0,,,,0,35.4
14,56,12,3000,14.998999999999496,12.0,3000.0,,,,0,38.1
15,57,12,3000,14.998999999999496,12.0,3000.0,,,,0,40.8
16,58,12,3000,14.998999999999496,12.0,3000.0,,,,0,43.5
17,59,12,3000,14.998999999999496,12.0,3000.0,,,,0,46.3
18,60,12,3000,14.998999999999496,12.0,3000.0,,,,0,49.0
19,61,12,3000,14.998999999999496,12.0,3000.0,,,,0,51.7
20,62,12,3000,14.998999999999496,12.0,3000.0,,,,0,54.5
21,63,12,3000,14.998999999999496,12.0,3000.0,,,,0,57.2
22,64,5,1492,5.4910000000000885,11.681818181818182,2931.4545454545455,,,,0,58.5
23,65,12,3000,14.998999999999496,11.695652173913043,2934.4347826086955,,,,0,61.2
24,66,12,3000,14.998999999999496,11.708333333333334,2937.1666666666665,,,,0,64.0
25,67,11,2961,12.959999999999518,11.68,2938.12,1.25,354.6,0.45,0,69.6
26,68,12,3000,14.998999999999496,11.692307692307692,2940.5,,,,0,71.7
27,69,12,3000,14.998999999999496,11.703703703703704,2942.703703703704,,,,0,73.6
28,70,12,3000,14.998999999999496,11.714285714285714,2944.75,,,,0,75.4
29,71,12,3000,14.998999999999496,11.724137931034482,2946.655172413793,,,,0,77.2
30,72,12,3000,14.998999999999496,11.733333333333333,2948.4333333333334,,,,0,79.0
31,73,12,3000,14.998999999999496,11.741935483870968,2950.0967741935483,,,,0,80.8
32,74,6,1761,6.760000000000178,11.5625,2912.9375,,,,0,81.8
33,75,12,3000,14.998999999999496,11.575757575757576,2915.5757575757575,,,,0,83.6
34,76,12,3000,14.998999999999496,11.588235294117647,2918.0588235294117,,,,0,85.4
35,77,12,3000,14.998999999999496,11.6,2920.4,,,,0,87.3
36,78,12,3000,14.998999999999496,11.61111111111111,2922.6111111111113,,,,0,89.2
37,79,12,3000,14.998999999999496,11.621621621621621,2924.7027027027025,,,,0,91.0
38,80,12,3000,14.998999999999496,11.631578947368421,2926.684210526316,,,,0,92.8
39,81,12,3000,14.998999999999496,11.64102564102564,2928.5641025641025,,,,0,94.6
40,82,12,3000,14.998999999999496,11.65,2930.35,,,,0,96.4
41,83,12,3000,14.998999999999496,11.658536585365853,2932.048780487805,,,,0,98.3
42,84,12,3000,14.998999999999496,11.666666666666666,2933.6666666666665,,,,0,100.1
43,85,12,3000,14.998999999999496,11.674418604651162,2935.2093023255816,,,,0,102.0
44,86,12,3000,14.998999999999496,11.681818181818182,2936.681818181818,,,,0,103.8
45,87,12,3000,14.998999999999496,11.688888888888888,2938.088888888889,,,,0,105.7
46,88,12,3000,14.998999999999496,11.695652173913043,2939.4347826086955,,,,0,107.5
47,89,12,3000,14.998999999999496,11.702127659574469,2940.723404255319,,,,0,109.4
48,90,12,3000,14.998999999999496,11.708333333333334,2941.9583333333335,,,,0,111.3
49,91,12,3000,14.998999999999496,11.714285714285714,2943.1428571428573,,,,0,113.3
50,92,12,3000,14.998999999999496,11.72,2944.28,1.15,340.85,0.5,0,119.3
51,93,12,3000,14.998999999999496,11.72,2944.28,,,,0,2.2
52,94,12,3000,14.998999999999496,11.72,2944.28,,,,0,4.4
53,95,12,3000,14.998999999999496,11.72,2944.28,,,,0,6.1
54,96,12,3000,14.998999999999496,11.72,2944.28,,,,0,7.8
55,97,12,3000,14.998999999999496,11.72,2944.28,,,,0,9.5
56,98,12,3000,14.998999999999496,11.72,2944.28,,,,0,11.6
57,99,12,3000,14.998999999999496,11.72,2944.28,,,,0,13.7
58,100,12,3000,14.998999999999496,11.72,2944.28,,,,0,15.8
59,101,9,2482,10.480999999999783,11.66,2933.92,,,,0,17.5
60,102,12,3000,14.998999999999496,11.66,2933.92,,,,0,19.6
