episode,seed,score,steps,total_reward,mean_score_50,mean_survival_50,eval_mean_score,eval_mean_survival,eval_success_rate,curriculum_stage,wall_time_s
1,43,3,10000,12.99899999999849,3.0,10000.0,,,,0,7.5
2,44,3,10000,12.99899999999849,3.0,10000.0,,,,0,17.3
3,45,3,10000,12.99899999999849,3.0,10000.0,,,,0,24.9
4,46,3,10000,12.99899999999849,3.0,10000.0,,,,0,35.1
5,47,3,10000,12.99899999999849,3.0,10000.0,,,,0,44.8
6,48,3,10000,12.99899999999849,3.0,10000.0,,,,0,54.7
7,49,3,10000,12.99899999999849,3.0,10000.0,,,,0,64.3
8,50,3,10000,12.99899999999849,3.0,10000.0,,,,0,70.3
9,51,3,10000,12.99899999999849,3.0,10000.0,,,,0,76.0
10,52,3,10000,12.99899999999849,3.0,10000.0,,,,0,81.6
11,53,3,819,2.817999999999946,3.0,9165.363636363636,,,,0,82.1
12,54,3,10000,12.99899999999849,3.0,9234.916666666666,,,,0,87.7
13,55,2,760,1.7589999999999524,2.923076923076923,8583.0,,,,0,88.1
14,56,2,571,1.5699999999999732,2.857142857142857,8010.714285714285,,,,0,88.5
15,57,3,10000,12.99899999999849,2.8666666666666667,8143.333333333333,,,,0,94.1
16,58,3,10000,12.99899999999849,2.875,8259.375,,,,0,99.7
17,59,3,10000,12.99899999999849,2.8823529411764706,8361.764705882353,,,,0,105.2
18,60,3,10000,12.99899999999849,2.888888888888889,8452.777777777777,,,,0,110.8
19,61,3,10000,12.99899999999849,2.8947368421052633,8534.21052631579,,,,0,116.4
20,62,3,10000,12.99899999999849,2.9,8607.5,,,,0,123.5
21,63,3,10000,12.99899999999849,2.9047619047619047,8673.809523809523,,,,0,130.6
22,64,3,10000,12.99899999999849,2.909090909090909,8734.09090909091,,,,0,137.8
23,65,3,10000,12.99899999999849,2.9130434782608696,8789.130434782608,,,,0,145.1
24,66,3,10000,12.99899999999849,2.9166666666666665,8839.583333333334,,,,0,152.4
25,67,3,10000,12.99899999999849,2.92,8886.0,,,,0,159.6
26,68,3,10000,12.99899999999849,2.923076923076923,8928.846153846154,,,,0,166.6
27,69,3,10000,12.99899999999849,2.925925925925926,8968.518518518518,,,,0,173.7
28,70,2,804,1.8029999999999475,2.892857142857143,8676.92857142857,,,,0,174.3
29,71,3,10000,12.99899999999849,2.896551724137931,8722.551724137931,,,,0,181.4
30,72,3,10000,12.99899999999849,2.9,8765.133333333333,,,,0,188.5
31,73,3,10000,12.99899999999849,2.903225806451613,8804.967741935483,,,,0,195.7
32,74,3,10000,12.99899999999849,2.90625,8842.3125,,,,0,202.9
33,75,3,10000,12.99899999999849,2.909090909090909,8877.39393939394,,,,0,210.6
34,76,3,10000,12.99899999999849,2.911764705882353,8910.411764705883,,,,0,217.2
35,77,3,10000,12.99899999999849,2.914285714285714,8941.542857142857,,,,0,226.5
36,78,3,10000,12.99899999999849,2.9166666666666665,8970.944444444445,,,,0,233.0
37,79,3,10000,12.99899999999849,2.918918918918919,8998.756756756757,,,,0,241.9
38,80,3,10000,12.99899999999849,2.9210526315789473,9025.105263157895,,,,0,252.0
39,81,3,10000,12.99899999999849,2.923076923076923,9050.102564102564,,,,0,264.6
40,82,3,10000,12.99899999999849,2.925,9073.85,,,,0,274.3
41,83,3,10000,12.99899999999849,2.926829268292683,9096.439024390244,,,,0,282.1
42,84,3,10000,12.99899999999849,2.9285714285714284,9117.952380952382,,,,0,293.8
43,85,3,10000,12.99899999999849,2.9302325581395348,9138.46511627907,,,,0,304.8
44,86,2,772,1.770999999999951,2.909090909090909,8948.318181818182,,,,0,305.5
45,87,3,10000,12.99899999999849,2.911111111111111,8971.68888888889,,,,0,315.5
46,88,2,795,1.7939999999999485,2.891304347826087,8793.934782608696,,,,0,316.7
47,89,3,10000,12.99899999999849,2.893617021276596,8819.595744680852,,,,0,330.7
48,90,3,10000,12.99899999999849,2.8958333333333335,8844.1875,,,,0,340.4
49,91,3,10000,12.99899999999849,2.8979591836734695,8867.775510204081,,,,0,347.5
50,92,2,760,1.7589999999999524,2.88,8705.62,,,,0,348.0
51,93,3,10000,12.99899999999849,2.88,8705.62,,,,0,355.1
52,94,3,10000,12.99899999999849,2.88,8705.62,,,,0,362.2
53,95,3,10000,12.99899999999849,2.88,8705.62,,,,0,369.6
54,96,3,10000,12.99899999999849,2.88,8705.62,,,,0,376.8
55,97,3,10000,12.99899999999849,2.88,8705.62,,,,0,383.8
56,98,3,10000,12.99899999999849,2.88,8705.62,,,,0,391.6
57,99,0,286,-0.7149999999999999,2.82,8511.34,,,,0,391.8
58,100,3,10000,12.99899999999849,2.82,8511.34,,,,0,398.5
59,101,3,10000,12.99899999999849,2.82,8511.34,,,,0,405.3
60,102,2,775,1.7739999999999507,2.8,8326.84,,,,0,405.9
61,103,3,10000,12.99899999999849,2.8,8510.46,,,,0,412.8
62,104,3,10000,12.99899999999849,2.8,8510.46,,,,0,420.7
63,105,3,10000,12.99899999999849,2.82,8695.26,,,,0,428.0
64,106,3,10000,12.99899999999849,2.84,8883.84,,,,0,434.7
65,107,3,10000,12.99899999999849,2.84,8883.84,,,,0,440.9
66,108,3,10000,12.99899999999849,2.84,8883.84,,,,0,446.5
