episode,seed,score,steps,total_reward,mean_score_50,mean_survival_50,eval_mean_score,eval_mean_survival,eval_success_rate,curriculum_stage,wall_time_s
1,43,3,5000,7.999000000001261,3.0,5000.0,,,,0,3.6
2,44,3,5000,7.999000000001261,3.0,5000.0,,,,0,7.4
3,45,3,5000,7.999000000001261,3.0,5000.0,,,,0,11.4
4,46,3,5000,7.999000000001261,3.0,5000.0,,,,0,14.8
5,47,3,5000,7.999000000001261,3.0,5000.0,,,,0,17.6
6,48,3,5000,7.999000000001261,3.0,5000.0,,,,0,20.5
7,49,3,5000,7.999000000001261,3.0,5000.0,,,,0,23.4
8,50,3,5000,7.999000000001261,3.0,5000.0,,,,0,26.3
9,51,3,5000,7.999000000001261,3.0,5000.0,,,,0,29.6
10,52,3,5000,7.999000000001261,3.0,5000.0,,,,0,32.5
11,53,3,5000,7.999000000001261,3.0,5000.0,,,,0,35.2
12,54,3,5000,7.999000000001261,3.0,5000.0,,,,0,38.0
13,55,3,5000,7.999000000001261,3.0,5000.0,,,,0,40.7
14,56,1,511,0.5099999999999798,2.857142857142857,4679.357142857143,,,,0,41.0
15,57,3,5000,7.999000000001261,2.8666666666666667,4700.733333333334,,,,0,44.2
16,58,3,5000,7.999000000001261,2.875,4719.4375,,,,0,47.1
17,59,3,5000,7.999000000001261,2.8823529411764706,4735.941176470588,,,,0,50.4
18,60,3,5000,7.999000000001261,2.888888888888889,4750.611111111111,,,,0,53.8
19,61,3,5000,7.999000000001261,2.8947368421052633,4763.736842105263,,,,0,57.1
20,62,3,5000,7.999000000001261,2.9,4775.55,,,,0,60.4
21,63,3,5000,7.999000000001261,2.9047619047619047,4786.238095238095,,,,0,64.6
22,64,3,5000,7.999000000001261,2.909090909090909,4795.954545454545,,,,0,68.7
23,65,3,5000,7.999000000001261,2.9130434782608696,4804.826086956522,,,,0,71.9
24,66,3,5000,7.999000000001261,2.9166666666666665,4812.958333333333,,,,0,74.7
25,67,3,5000,7.999000000001261,2.92,4820.44,0.75,725.75,0.45,0,84.5
26,68,3,5000,7.999000000001261,2.923076923076923,4827.346153846154,,,,0,87.3
27,69,3,5000,7.999000000001261,2.925925925925926,4833.740740740741,,,,0,90.1
28,70,3,5000,7.999000000001261,2.9285714285714284,4839.678571428572,,,,0,92.8
29,71,3,5000,7.999000000001261,2.9310344827586206,4845.206896551724,,,,0,95.6
30,72,3,5000,7.999000000001261,2.933333333333333,4850.366666666667,,,,0,98.3
31,73,3,5000,7.999000000001261,2.935483870967742,4855.193548387097,,,,0,101.1
32,74,3,5000,7.999000000001261,2.9375,4859.71875,,,,0,103.8
33,75,3,5000,7.999000000001261,2.9393939393939394,4863.969696969697,,,,0,106.6
34,76,3,5000,7.999000000001261,2.9411764705882355,4867.970588235294,,,,0,109.3
35,77,3,5000,7.999000000001261,2.942857142857143,4871.742857142857,,,,0,112.1
36,78,3,5000,7.999000000001261,2.9444444444444446,4875.305555555556,,,,0,114.8
37,79,1,554,0.5529999999999751,2.891891891891892,4758.513513513513,,,,0,115.2
38,80,3,5000,7.999000000001261,2.8947368421052633,4764.868421052632,,,,0,117.9
39,81,1,556,0.5549999999999748,2.8461538461538463,4656.948717948718,,,,0,118.2
40,82,3,5000,7.999000000001261,2.85,4665.525,,,,0,121.0
41,83,3,5000,7.999000000001261,2.8536585365853657,4673.682926829269,,,,0,123.7
42,84,3,5000,7.999000000001261,2.857142857142857,4681.452380952381,,,,0,126.5
43,85,3,5000,7.999000000001261,2.86046511627907,4688.860465116279,,,,0,129.3
44,86,3,5000,7.999000000001261,2.8636363636363638,4695.931818181818,,,,0,132.0
45,87,3,5000,7.999000000001261,2.8666666666666667,4702.688888888889,,,,0,134.8
46,88,3,5000,7.999000000001261,2.869565217391304,4709.152173913043,,,,0,137.6
47,89,3,5000,7.999000000001261,2.872340425531915,4715.340425531915,,,,0,140.3
48,90,2,794,1.7929999999999486,2.8541666666666665,4633.645833333333,,,,0,140.8
49,91,3,5000,7.999000000001261,2.857142857142857,4641.122448979592,,,,0,143.5
50,92,3,5000,7.999000000001261,2.86,4648.3,0.7,714.1,0.4,0,153.2
