condition,success_mean,success_ci,final_distance,steps,action_entropy,trajectory_diversity
A: 180deg + Global Plasticity,0.0,0.0,51.263882972196335,400.0,0.5140729650947844,41.314543500252746
B: 360deg + Global Plasticity,0.0,0.0,51.263882972196335,400.0,0.6495569831027836,41.314543500252746
C: 180deg + Pathway Plasticity,0.0,0.0,51.263882972196335,400.0,0.538114549474173,41.314543500252746
D: 360deg + Pathway Plasticity,0.0,0.0,51.263882972196335,400.0,0.6695298667359203,41.314543500252746
E: 180deg + Saccades + Pathway,0.0,0.0,53.69407434096655,400.0,0.379444332838369,44.20727063961945
F: 360deg + Unplastic,0.0,0.0,51.263882972196335,400.0,0.6498606534553444,41.314543500252746
G: Rewired Null + Pathway,0.0,0.0,51.263882972196335,400.0,0.025211865892934702,41.314543500252746
H: Random Baseline,0.0,0.0,59.911792814141165,400.0,1.5849473185066356,56.90148903019688
