label,success_rate,mean_final_err_rad,mean_init_err_rad,improvement_rad,mean_steps
A: Bio + No Plasticity,100.0,0.08122748205185228,1.504011981946558,1.4227844998947057,10.542
B: Bio + Pathway Plasticity,100.0,0.0812274820518523,1.504011981946558,1.4227844998947057,10.636
C: Rewired + Pathway Plasticity,83.8,0.3062402441088936,1.504011981946558,1.1977717378376644,29.994
D: Random Baseline,66.0,0.7555589161668459,1.504011981946558,0.7484530657797122,32.0
