synapse_scale,population,baseline_mean,baseline_std,stim_mean,stim_std,abs_change,pct_change,snr,motor_disc,bump_amp_mean,bump_amp_std,ring_stable,saturation
0.001,ER4d,0.0,0.0,0.9929841975341381,0.00030506224417143593,0.9929841975341381,99298419753.4138,992984197.5341381,0.03332687372950374,0.2481850657873256,0.030809467622389425,True,False
0.001,ER4m,0.0,0.0,0.9893556311197658,0.0003251400250683251,0.9893556311197658,98935563111.97658,989355631.1197658,0.03332687372950374,0.2481850657873256,0.030809467622389425,True,False
0.001,ER4,0.0,0.0,0.991947464272889,0.0016684477130407113,0.991947464272889,99194746427.2889,991947464.272889,0.03332687372950374,0.2481850657873256,0.030809467622389425,True,False
0.001,EPG,0.0,0.0,0.628380995311981,0.07522080616787473,0.628380995311981,62838099531.1981,628380995.311981,0.03332687372950374,0.2481850657873256,0.030809467622389425,True,False
0.001,Delta7,0.0,0.0,0.15577164841951782,0.02424806241734792,0.15577164841951782,15577164841.951782,155771648.41951782,0.03332687372950374,0.2481850657873256,0.030809467622389425,True,False
0.001,PEG,0.0,0.0,0.14370011852064846,0.051544749299305324,0.14370011852064846,14370011852.064844,143700118.52064845,0.03332687372950374,0.2481850657873256,0.030809467622389425,True,False
0.001,PEN_a,0.0,0.0,0.1770269922501522,0.0379835662907315,0.1770269922501522,17702699225.01522,177026992.2501522,0.03332687372950374,0.2481850657873256,0.030809467622389425,True,False
0.001,PEN_b,0.0,0.0,0.16467147848883743,0.048859791127516705,0.16467147848883743,16467147848.883741,164671478.48883742,0.03332687372950374,0.2481850657873256,0.030809467622389425,True,False
0.002,ER4d,0.0,0.0,0.9947205094994981,2.5904909993757036e-05,0.9947205094994981,99472050949.9498,994720509.499498,0.19344432723780958,0.2277812056255716,0.04231595525079381,True,False
0.002,ER4m,0.0,0.0,0.9942490733885497,6.892666567288678e-05,0.9942490733885497,99424907338.85497,994249073.3885497,0.19344432723780958,0.2277812056255716,0.04231595525079381,True,False
0.002,ER4,0.0,0.0,0.9945858134677985,0.0002172424448837361,0.9945858134677985,99458581346.77985,994585813.4677985,0.19344432723780958,0.2277812056255716,0.04231595525079381,True,False
0.002,EPG,0.0,0.0,0.9411915978641163,0.027685225703187766,0.9411915978641163,94119159786.41164,941191597.8641163,0.19344432723780958,0.2277812056255716,0.04231595525079381,True,False
0.002,Delta7,0.0,0.0,0.34392942947189337,0.06555390539552237,0.34392942947189337,34392942947.18934,343929429.47189337,0.19344432723780958,0.2277812056255716,0.04231595525079381,True,False
0.002,PEG,0.0,0.0,0.3589680529594468,0.13027440483562122,0.3589680529594468,35896805295.94468,358968052.9594468,0.19344432723780958,0.2277812056255716,0.04231595525079381,True,False
0.002,PEN_a,0.0,0.0,0.5524123801972564,0.08239579142864051,0.5524123801972564,55241238019.72563,552412380.1972563,0.19344432723780958,0.2277812056255716,0.04231595525079381,True,False
0.002,PEN_b,0.0,0.0,0.4656461466405304,0.10961471986910498,0.4656461466405304,46564614664.05303,465646146.64053035,0.19344432723780958,0.2277812056255716,0.04231595525079381,True,False
0.005,ER4d,0.0,0.0,0.9948161808060659,1.0984604767700753e-06,0.9948161808060659,99481618080.6066,994816180.8060659,0.31819247015811325,0.12305999163541484,0.1187022795405249,True,False
0.005,ER4m,0.0,0.0,0.9948028426554117,1.3888146329158672e-06,0.9948028426554117,99480284265.54117,994802842.6554117,0.31819247015811325,0.12305999163541484,0.1187022795405249,True,False
0.005,ER4,0.0,0.0,0.9948123699058792,6.141690011404669e-06,0.9948123699058792,99481236990.58792,994812369.9058791,0.31819247015811325,0.12305999163541484,0.1187022795405249,True,False
0.005,EPG,0.0,0.0,0.9926363331757907,0.0004594809215477339,0.9926363331757907,99263633317.57907,992636333.1757907,0.31819247015811325,0.12305999163541484,0.1187022795405249,True,False
0.005,Delta7,0.0,0.0,0.5018573112532918,0.14987551569789065,0.5018573112532918,50185731125.32918,501857311.2532918,0.31819247015811325,0.12305999163541484,0.1187022795405249,True,False
0.005,PEG,0.0,0.0,0.6331896204276671,0.25242995963178627,0.6331896204276671,63318962042.766716,633189620.4276671,0.31819247015811325,0.12305999163541484,0.1187022795405249,True,False
0.005,PEN_a,0.0,0.0,0.9513820905857804,0.026452363470129133,0.9513820905857804,95138209058.57803,951382090.5857804,0.31819247015811325,0.12305999163541484,0.1187022795405249,True,False
0.005,PEN_b,0.0,0.0,0.8978730389037931,0.07555985919507216,0.8978730389037931,89787303890.3793,897873038.9037931,0.31819247015811325,0.12305999163541484,0.1187022795405249,True,False
0.01,ER4d,0.0,0.0,0.9948236792014759,3.4079988217285695e-07,0.9948236792014759,99482367920.14757,994823679.2014757,0.22845860342131685,0.08820926472626918,0.10518402839619498,True,False
0.01,ER4m,0.0,0.0,0.9948193019566096,4.5003225618314514e-07,0.9948193019566096,99481930195.66096,994819301.9566096,0.22845860342131685,0.08820926472626918,0.10518402839619498,True,False
0.01,ER4,0.0,0.0,0.9948224285600854,2.012730870096001e-06,0.9948224285600854,99482242856.00853,994822428.5600853,0.22845860342131685,0.08820926472626918,0.10518402839619498,True,False
0.01,EPG,0.0,0.0,0.9937457304519104,0.00012962561342724988,0.9937457304519104,99374573045.19104,993745730.4519104,0.22845860342131685,0.08820926472626918,0.10518402839619498,True,False
0.01,Delta7,0.0,0.0,0.5742066922835302,0.25975502201275197,0.5742066922835302,57420669228.35301,574206692.2835301,0.22845860342131685,0.08820926472626918,0.10518402839619498,True,False
0.01,PEG,0.0,0.0,0.7619360195433834,0.31297548886036575,0.7619360195433834,76193601954.33833,761936019.5433834,0.22845860342131685,0.08820926472626918,0.10518402839619498,True,False
0.01,PEN_a,0.0,0.0,0.9903946229647003,0.0017453513383795687,0.9903946229647003,99039462296.47002,990394622.9647002,0.22845860342131685,0.08820926472626918,0.10518402839619498,True,False
0.01,PEN_b,0.0,0.0,0.9791883049409825,0.023121153661105495,0.9791883049409825,97918830494.09825,979188304.9409825,0.22845860342131685,0.08820926472626918,0.10518402839619498,True,False
