episode,score,steps,total_reward,flap_rate,elapsed_s,eps_per_sec,gpu_memory_mb
0,2,473,1.471999999999972,0.05708245243128964,0.2,4.11,0.0
1,3,579,2.5779999999999603,0.055267702936096716,0.5,3.64,0.0
2,0,179,-0.8219999999999998,0.055865921787709494,0.6,4.69,0.0
3,2,454,1.452999999999974,0.05726872246696035,0.9,4.58,0.0
4,2,456,1.4549999999999739,0.05701754385964912,1.1,4.46,0.0
5,1,313,0.3119999999999896,0.054313099041533544,1.3,4.66,0.0
6,2,446,1.444999999999975,0.053811659192825115,1.5,4.58,0.0
7,2,446,1.444999999999975,0.05605381165919283,1.8,4.53,0.0
8,1,323,0.3219999999999885,0.05263157894736842,1.9,4.67,0.0
9,1,336,0.3349999999999871,0.05654761904761905,2.1,4.75,0.0
10,0,179,-0.8219999999999998,0.055865921787709494,2.2,4.97,0.0
11,3,579,2.5779999999999603,0.055267702936096716,2.5,4.77,0.0
12,2,446,1.444999999999975,0.05605381165919283,2.7,4.74,0.0
13,0,202,-0.7989999999999998,0.054455445544554455,2.8,4.92,0.0
14,4,722,3.720999999999991,0.054016620498614956,3.2,4.63,0.0
15,2,459,1.4579999999999735,0.05664488017429194,3.5,4.59,0.0
16,1,327,0.3259999999999881,0.0581039755351682,3.7,4.64,0.0
17,0,179,-0.8219999999999998,0.055865921787709494,3.8,4.79,0.0
18,1,313,0.3119999999999896,0.054313099041533544,3.9,4.84,0.0
19,0,188,-0.8129999999999998,0.05851063829787234,4.0,4.97,0.0
20,0,186,-0.8149999999999998,0.05913978494623656,4.1,5.10,0.0
21,1,313,0.3119999999999896,0.054313099041533544,4.3,5.14,0.0
22,5,846,4.845000000000032,0.05555555555555555,4.7,4.85,0.0
23,1,315,0.3139999999999894,0.05714285714285714,4.9,4.89,0.0
24,0,179,-0.8219999999999998,0.055865921787709494,5.0,5.00,0.0
25,4,730,3.728999999999994,0.056164383561643834,5.4,4.82,0.0
26,2,448,1.4469999999999748,0.05580357142857143,5.6,4.79,0.0
27,0,189,-0.8119999999999998,0.0582010582010582,5.7,4.88,0.0
28,1,317,0.3159999999999892,0.056782334384858045,5.9,4.91,0.0
29,1,313,0.3119999999999896,0.054313099041533544,6.1,4.94,0.0
30,1,313,0.3119999999999896,0.054313099041533544,6.2,4.97,0.0
