episode,score,steps,total_reward,flap_rate,elapsed_s,eps_per_sec,gpu_memory_mb
0,6,979,5.978000000000075,0.05515832482124617,0.5,1.89,0.0
1,2,352,1.3509999999999853,0.056818181818181816,0.7,2.80,0.0
2,3,579,2.5779999999999603,0.055267702936096716,1.0,2.94,0.0
3,0,179,-0.8219999999999998,0.055865921787709494,1.1,3.59,0.0
4,2,456,1.4549999999999739,0.05701754385964912,1.4,3.64,0.0
5,1,338,0.33699999999998687,0.05325443786982249,1.6,3.86,0.0
6,1,313,0.3119999999999896,0.054313099041533544,1.7,4.08,0.0
7,2,483,2.481999999999971,0.053830227743271224,2.0,4.08,0.0
8,0,179,-0.8219999999999998,0.055865921787709494,2.1,4.38,0.0
9,2,454,1.452999999999974,0.05726872246696035,2.3,4.33,0.0
10,1,313,0.3119999999999896,0.05750798722044728,2.5,4.42,0.0
11,0,186,-0.8149999999999998,0.05913978494623656,2.6,4.64,0.0
12,3,579,2.5779999999999603,0.055267702936096716,2.9,4.51,0.0
13,1,318,0.31699999999998907,0.05345911949685535,3.1,4.59,0.0
14,2,446,1.444999999999975,0.05605381165919283,3.3,4.57,0.0
15,0,205,-0.7959999999999998,0.05853658536585366,3.4,4.72,0.0
16,0,179,-0.8219999999999998,0.055865921787709494,3.5,4.85,0.0
17,1,313,0.3119999999999896,0.054313099041533544,3.7,4.90,0.0
18,6,981,5.980000000000076,0.05606523955147808,4.2,4.53,0.0
19,0,179,-0.8219999999999998,0.055865921787709494,4.3,4.66,0.0
20,0,179,-0.8219999999999998,0.055865921787709494,4.4,4.80,0.0
21,0,182,-0.8189999999999998,0.06043956043956044,4.5,4.92,0.0
22,1,320,0.31899999999998885,0.05625,4.7,4.95,0.0
23,5,846,4.845000000000032,0.05555555555555555,5.1,4.71,0.0
24,1,313,0.3119999999999896,0.054313099041533544,5.3,4.75,0.0
25,0,179,-0.8219999999999998,0.055865921787709494,5.4,4.85,0.0
26,3,592,2.590999999999959,0.05405405405405406,5.7,4.75,0.0
27,2,460,1.4589999999999734,0.05652173913043478,5.9,4.72,0.0
28,7,1125,7.124000000000029,0.056,6.5,4.44,0.0
29,1,317,0.3159999999999892,0.056782334384858045,6.7,4.47,0.0
30,1,218,0.21700000000000008,0.05045871559633028,6.8,4.54,0.0
31,1,313,0.3119999999999896,0.054313099041533544,7.0,4.58,0.0
32,2,446,1.444999999999975,0.053811659192825115,7.2,4.57,0.0
33,1,313,0.3119999999999896,0.05750798722044728,7.4,4.60,0.0
34,0,179,-0.8219999999999998,0.055865921787709494,7.5,4.68,0.0
35,0,179,-0.8219999999999998,0.055865921787709494,7.6,4.76,0.0
36,1,339,0.33799999999998676,0.05604719764011799,7.7,4.78,0.0
37,2,446,1.444999999999975,0.05605381165919283,8.0,4.75,0.0
38,0,185,-0.8159999999999998,0.05945945945945946,8.1,4.82,0.0
39,3,579,2.5779999999999603,0.055267702936096716,8.4,4.77,0.0
40,0,179,-0.8219999999999998,0.055865921787709494,8.5,4.84,0.0
41,0,189,-0.8119999999999998,0.0582010582010582,8.6,4.90,0.0
42,1,315,0.3139999999999894,0.05714285714285714,8.7,4.92,0.0
43,9,1389,9.387999999999883,0.056155507559395246,9.5,4.65,0.0
44,1,341,0.33999999999998654,0.05278592375366569,9.6,4.67,0.0
45,2,459,1.4579999999999735,0.05664488017429194,9.9,4.65,0.0
46,6,984,5.983000000000077,0.05589430894308943,10.4,4.52,0.0
47,6,979,5.978000000000075,0.05515832482124617,10.9,4.40,0.0
48,1,336,0.3349999999999871,0.05357142857142857,11.1,4.41,0.0
49,2,446,1.444999999999975,0.05605381165919283,11.3,4.41,0.0
50,3,579,2.5779999999999603,0.05699481865284974,11.6,4.38,0.0
51,4,713,3.711999999999988,0.056100981767180924,12.0,4.33,0.0
52,0,186,-0.8149999999999998,0.05913978494623656,12.1,4.38,0.0
53,1,313,0.3119999999999896,0.054313099041533544,12.3,4.40,0.0
54,0,216,-0.7849999999999998,0.05092592592592592,12.4,4.44,0.0
55,1,345,0.3439999999999861,0.05507246376811594,12.6,4.45,0.0
56,1,338,0.33699999999998687,0.05621301775147929,12.7,4.47,0.0
57,1,315,0.3139999999999894,0.05714285714285714,12.9,4.49,0.0
58,2,446,1.444999999999975,0.05605381165919283,13.1,4.49,0.0
59,6,1003,6.002000000000083,0.05583250249252243,13.7,4.39,0.0
60,5,881,4.880000000000043,0.05448354143019296,14.1,4.32,0.0
61,0,183,-0.8179999999999998,0.060109289617486336,14.2,4.36,0.0
62,3,579,2.5779999999999603,0.055267702936096716,14.5,4.33,0.0
63,0,179,-0.8219999999999998,0.055865921787709494,14.6,4.37,0.0
64,1,321,0.31999999999998874,0.056074766355140186,14.8,4.39,0.0
65,3,580,2.57899999999996,0.05517241379310345,15.1,4.37,0.0
66,0,179,-0.8219999999999998,0.055865921787709494,15.2,4.41,0.0
67,0,215,-0.7859999999999998,0.05116279069767442,15.3,4.44,0.0
68,5,846,4.845000000000032,0.05555555555555555,15.8,4.38,0.0
69,0,183,-0.8179999999999998,0.04918032786885246,15.9,4.41,0.0
70,1,313,0.3119999999999896,0.054313099041533544,16.0,4.43,0.0
71,1,313,0.3119999999999896,0.054313099041533544,16.2,4.45,0.0
72,0,180,-0.8209999999999998,0.05,16.3,4.49,0.0
73,0,201,-0.7999999999999998,0.05472636815920398,16.4,4.52,0.0
74,0,187,-0.8139999999999998,0.058823529411764705,16.5,4.55,0.0
75,0,181,-0.8199999999999998,0.055248618784530384,16.6,4.58,0.0
76,0,179,-0.8219999999999998,0.055865921787709494,16.7,4.61,0.0
77,0,189,-0.8119999999999998,0.0582010582010582,16.8,4.64,0.0
78,4,713,3.711999999999988,0.056100981767180924,17.2,4.60,0.0
79,1,313,0.3119999999999896,0.054313099041533544,17.3,4.62,0.0
80,1,313,0.3119999999999896,0.054313099041533544,17.5,4.63,0.0
81,3,579,2.5779999999999603,0.055267702936096716,17.8,4.60,0.0
82,0,179,-0.8219999999999998,0.055865921787709494,17.9,4.64,0.0
83,5,852,4.851000000000034,0.056338028169014086,18.3,4.58,0.0
84,8,1249,8.24799999999996,0.05604483586869496,19.0,4.47,0.0
85,1,316,0.3149999999999893,0.056962025316455694,19.2,4.48,0.0
86,0,206,-0.7949999999999998,0.05825242718446602,19.3,4.51,0.0
87,1,313,0.3119999999999896,0.054313099041533544,19.5,4.52,0.0
88,1,219,0.21799999999999997,0.0593607305936073,19.6,4.55,0.0
89,3,589,2.587999999999959,0.05602716468590832,19.9,4.53,0.0
90,3,617,3.615999999999956,0.05672609400324149,20.2,4.50,0.0
91,2,446,1.444999999999975,0.05605381165919283,20.4,4.50,0.0
92,1,313,0.3119999999999896,0.054313099041533544,20.6,4.52,0.0
93,0,179,-0.8219999999999998,0.055865921787709494,20.7,4.55,0.0
94,0,215,-0.7859999999999998,0.05116279069767442,20.8,4.56,0.0
95,1,313,0.3119999999999896,0.054313099041533544,21.0,4.57,0.0
96,1,313,0.3119999999999896,0.054313099041533544,21.2,4.59,0.0
97,9,1379,9.377999999999888,0.05583756345177665,21.9,4.48,0.0
98,0,179,-0.8219999999999998,0.055865921787709494,22.0,4.51,0.0
99,0,179,-0.8219999999999998,0.055865921787709494,22.1,4.53,0.0
100,0,179,-0.8219999999999998,0.055865921787709494,22.2,4.56,0.0
101,3,587,2.5859999999999594,0.054514480408858604,22.5,4.54,0.0
102,2,446,1.444999999999975,0.053811659192825115,22.7,4.54,0.0
103,0,180,-0.8209999999999998,0.05,22.8,4.56,0.0
104,3,592,2.590999999999959,0.05574324324324324,23.1,4.54,0.0
105,0,179,-0.8219999999999998,0.055865921787709494,23.2,4.56,0.0
106,1,313,0.3119999999999896,0.054313099041533544,23.4,4.57,0.0
107,0,191,-0.8099999999999998,0.05759162303664921,23.5,4.60,0.0
108,2,446,1.444999999999975,0.05605381165919283,23.7,4.59,0.0
109,2,459,1.4579999999999735,0.05664488017429194,24.0,4.59,0.0
110,2,446,1.444999999999975,0.05605381165919283,24.2,4.58,0.0
111,5,848,4.847000000000032,0.05660377358490566,24.6,4.54,0.0
112,0,186,-0.8149999999999998,0.05913978494623656,24.7,4.57,0.0
113,1,313,0.3119999999999896,0.054313099041533544,24.9,4.58,0.0
114,0,205,-0.7959999999999998,0.05853658536585366,25.0,4.59,0.0
115,0,191,-0.8099999999999998,0.05759162303664921,25.2,4.61,0.0
116,1,313,0.3119999999999896,0.054313099041533544,25.3,4.62,0.0
117,0,190,-0.8109999999999998,0.05789473684210526,25.4,4.64,0.0
118,1,313,0.3119999999999896,0.05750798722044728,25.6,4.65,0.0
119,4,713,3.711999999999988,0.056100981767180924,25.9,4.63,0.0
120,0,194,-0.8069999999999998,0.05670103092783505,26.0,4.65,0.0
121,0,179,-0.8219999999999998,0.055865921787709494,26.1,4.67,0.0
122,0,187,-0.8139999999999998,0.058823529411764705,26.3,4.68,0.0
123,0,179,-0.8219999999999998,0.055865921787709494,26.4,4.71,0.0
124,4,713,3.711999999999988,0.056100981767180924,26.7,4.68,0.0
125,4,713,3.711999999999988,0.056100981767180924,27.1,4.65,0.0
126,1,313,0.3119999999999896,0.054313099041533544,27.2,4.66,0.0
127,1,313,0.3119999999999896,0.054313099041533544,27.4,4.67,0.0
128,1,336,0.3349999999999871,0.05654761904761905,27.6,4.68,0.0
129,3,579,2.5779999999999603,0.055267702936096716,27.9,4.66,0.0
130,3,600,2.598999999999958,0.056666666666666664,28.2,4.65,0.0
131,12,1779,12.777999999999667,0.05564924114671164,29.1,4.53,0.0
132,0,190,-0.8109999999999998,0.05789473684210526,29.2,4.55,0.0
133,0,211,-0.7899999999999998,0.052132701421800945,29.3,4.57,0.0
134,0,179,-0.8219999999999998,0.05027932960893855,29.4,4.59,0.0
135,0,189,-0.8119999999999998,0.0582010582010582,29.5,4.60,0.0
136,0,185,-0.8159999999999998,0.05945945945945946,29.6,4.62,0.0
137,0,214,-0.7869999999999998,0.056074766355140186,29.8,4.64,0.0
138,0,179,-0.8219999999999998,0.05027932960893855,29.8,4.66,0.0
139,5,869,4.868000000000039,0.05638665132336018,30.3,4.62,0.0
140,1,313,0.3119999999999896,0.054313099041533544,30.5,4.63,0.0
