episode,score,steps,total_reward,flap_rate,elapsed_s,eps_per_sec,gpu_memory_mb
0,0,179,-0.8219999999999998,0.055865921787709494,0.1,10.54,0.0
1,0,208,-0.7929999999999998,0.057692307692307696,0.2,9.39,0.0
2,0,179,-0.8219999999999998,0.055865921787709494,0.3,9.72,0.0
3,3,579,2.5779999999999603,0.055267702936096716,0.6,6.22,0.0
4,2,454,1.452999999999974,0.05726872246696035,0.9,5.64,0.0
5,0,185,-0.8159999999999998,0.05945945945945946,1.0,6.08,0.0
6,6,979,5.978000000000075,0.05515832482124617,1.5,4.58,0.0
7,1,335,0.3339999999999872,0.056716417910447764,1.7,4.68,0.0
8,3,579,2.5779999999999603,0.055267702936096716,2.0,4.47,0.0
9,3,580,2.57899999999996,0.05517241379310345,2.3,4.29,0.0
10,2,446,1.444999999999975,0.05605381165919283,2.6,4.30,0.0
11,2,463,1.461999999999973,0.056155507559395246,2.8,4.26,0.0
12,1,313,0.3119999999999896,0.054313099041533544,3.0,4.36,0.0
13,1,336,0.3349999999999871,0.05654761904761905,3.2,4.44,0.0
14,7,1113,7.112000000000036,0.055705300988319856,3.8,3.99,0.0
15,1,313,0.3119999999999896,0.05750798722044728,3.9,4.08,0.0
16,1,336,0.3349999999999871,0.05654761904761905,4.1,4.14,0.0
17,0,179,-0.8219999999999998,0.055865921787709494,4.2,4.28,0.0
18,3,579,2.5779999999999603,0.055267702936096716,4.5,4.22,0.0
19,2,446,1.444999999999975,0.05605381165919283,4.7,4.22,0.0
20,0,192,-0.8089999999999998,0.052083333333333336,4.8,4.33,0.0
21,0,179,-0.8219999999999998,0.055865921787709494,4.9,4.45,0.0
22,0,201,-0.7999999999999998,0.04975124378109453,5.0,4.56,0.0
23,1,313,0.3119999999999896,0.054313099041533544,5.2,4.61,0.0
24,1,220,0.21899999999999986,0.05909090909090909,5.3,4.69,0.0
25,0,186,-0.8149999999999998,0.05913978494623656,5.4,4.79,0.0
26,0,188,-0.8129999999999998,0.05851063829787234,5.5,4.89,0.0
27,0,202,-0.7989999999999998,0.0594059405940594,5.6,4.97,0.0
28,1,315,0.3139999999999894,0.05714285714285714,5.8,5.01,0.0
29,5,850,4.849000000000033,0.05647058823529412,6.3,4.79,0.0
30,6,979,5.978000000000075,0.05515832482124617,6.8,4.58,0.0
31,0,179,-0.8219999999999998,0.055865921787709494,6.9,4.66,0.0
32,0,214,-0.7869999999999998,0.056074766355140186,7.0,4.71,0.0
33,2,448,1.4469999999999748,0.05580357142857143,7.2,4.70,0.0
34,0,187,-0.8139999999999998,0.058823529411764705,7.3,4.77,0.0
35,2,468,1.4669999999999725,0.053418803418803416,7.6,4.74,0.0
36,0,198,-0.8029999999999998,0.050505050505050504,7.7,4.80,0.0
37,1,313,0.3119999999999896,0.054313099041533544,7.9,4.83,0.0
38,2,447,1.4459999999999749,0.05592841163310962,8.1,4.81,0.0
39,1,313,0.3119999999999896,0.05750798722044728,8.3,4.83,0.0
40,0,186,-0.8149999999999998,0.05913978494623656,8.4,4.89,0.0
41,0,179,-0.8219999999999998,0.055865921787709494,8.5,4.96,0.0
42,1,335,0.3339999999999872,0.056716417910447764,8.7,4.97,0.0
43,2,456,1.4549999999999739,0.05701754385964912,8.9,4.95,0.0
44,0,193,-0.8079999999999998,0.05699481865284974,9.0,5.00,0.0
45,3,579,2.5779999999999603,0.055267702936096716,9.3,4.94,0.0
46,0,179,-0.8219999999999998,0.055865921787709494,9.4,4.99,0.0
47,0,185,-0.8159999999999998,0.05945945945945946,9.5,5.05,0.0
48,1,313,0.3119999999999896,0.054313099041533544,9.7,5.06,0.0
49,5,853,4.852000000000034,0.05627198124267292,10.1,4.94,0.0
50,3,588,2.5869999999999593,0.05612244897959184,10.4,4.88,0.0
51,6,979,5.978000000000075,0.05515832482124617,11.0,4.74,0.0
52,2,447,1.4459999999999749,0.05592841163310962,11.2,4.72,0.0
53,6,884,5.8830000000000435,0.05429864253393665,11.7,4.61,0.0
54,0,179,-0.8219999999999998,0.05027932960893855,11.8,4.66,0.0
55,0,191,-0.8099999999999998,0.05759162303664921,11.9,4.70,0.0
56,0,180,-0.8209999999999998,0.05,12.0,4.75,0.0
57,1,336,0.3349999999999871,0.05654761904761905,12.2,4.76,0.0
58,0,186,-0.8149999999999998,0.05913978494623656,12.3,4.80,0.0
59,1,313,0.3119999999999896,0.054313099041533544,12.5,4.81,0.0
60,1,218,0.21700000000000008,0.05045871559633028,12.6,4.85,0.0
61,1,329,0.32799999999998786,0.0547112462006079,12.8,4.86,0.0
62,1,338,0.33699999999998687,0.05621301775147929,12.9,4.87,0.0
63,1,323,0.3219999999999885,0.05572755417956656,13.1,4.89,0.0
64,5,855,4.854000000000035,0.056140350877192984,13.6,4.79,0.0
65,1,343,0.3419999999999863,0.052478134110787174,13.7,4.80,0.0
66,6,989,5.988000000000079,0.055611729019211326,14.3,4.70,0.0
67,0,211,-0.7899999999999998,0.05687203791469194,14.4,4.73,0.0
68,3,585,2.5839999999999597,0.05641025641025641,14.7,4.70,0.0
69,0,185,-0.8159999999999998,0.05945945945945946,14.8,4.73,0.0
70,1,321,0.31999999999998874,0.056074766355140186,15.0,4.75,0.0
71,3,596,2.5949999999999585,0.053691275167785234,15.3,4.71,0.0
72,0,179,-0.8219999999999998,0.055865921787709494,15.4,4.75,0.0
73,1,313,0.3119999999999896,0.054313099041533544,15.5,4.76,0.0
74,5,846,4.845000000000032,0.05555555555555555,16.0,4.69,0.0
75,0,183,-0.8179999999999998,0.0546448087431694,16.1,4.72,0.0
76,0,217,0.21600000000000016,0.05069124423963134,16.2,4.75,0.0
77,1,313,0.3119999999999896,0.054313099041533544,16.4,4.76,0.0
78,0,181,-0.8199999999999998,0.049723756906077346,16.5,4.79,0.0
79,1,313,0.3119999999999896,0.05750798722044728,16.6,4.81,0.0
80,0,179,-0.8219999999999998,0.055865921787709494,16.7,4.84,0.0
81,4,713,3.711999999999988,0.0546984572230014,17.1,4.79,0.0
82,0,179,-0.8219999999999998,0.055865921787709494,17.2,4.82,0.0
83,0,179,-0.8219999999999998,0.055865921787709494,17.3,4.85,0.0
84,4,713,3.711999999999988,0.056100981767180924,17.7,4.81,0.0
85,1,313,0.3119999999999896,0.054313099041533544,17.8,4.82,0.0
86,1,313,0.3119999999999896,0.054313099041533544,18.0,4.83,0.0
87,3,579,2.5779999999999603,0.055267702936096716,18.3,4.80,0.0
88,0,179,-0.8219999999999998,0.055865921787709494,18.4,4.83,0.0
89,5,858,4.857000000000036,0.055944055944055944,18.9,4.77,0.0
90,0,216,-0.7849999999999998,0.05092592592592592,19.0,4.79,0.0
91,1,338,0.33699999999998687,0.05621301775147929,19.2,4.80,0.0
92,1,313,0.3119999999999896,0.054313099041533544,19.3,4.81,0.0
93,1,313,0.3119999999999896,0.054313099041533544,19.5,4.82,0.0
94,2,461,1.4599999999999733,0.05639913232104121,19.7,4.81,0.0
95,4,725,3.723999999999992,0.05517241379310345,20.1,4.77,0.0
96,3,579,2.5779999999999603,0.055267702936096716,20.5,4.74,0.0
97,2,446,1.444999999999975,0.053811659192825115,20.7,4.74,0.0
98,0,187,-0.8139999999999998,0.058823529411764705,20.8,4.76,0.0
99,0,179,-0.8219999999999998,0.055865921787709494,20.9,4.79,0.0
100,0,185,-0.8159999999999998,0.05405405405405406,21.0,4.82,0.0
101,3,579,2.5779999999999603,0.055267702936096716,21.3,4.79,0.0
102,1,313,0.3119999999999896,0.054313099041533544,21.5,4.80,0.0
