episode,score,steps,total_reward,flap_rate,elapsed_s,eps_per_sec,gpu_memory_mb
0,1,313,0.3119999999999896,0.054313099041533544,0.2,6.18,0.0
1,3,579,2.5779999999999603,0.055267702936096716,0.5,4.22,0.0
2,2,446,1.444999999999975,0.05605381165919283,0.7,4.23,0.0
3,0,179,-0.8219999999999998,0.055865921787709494,0.8,4.87,0.0
4,3,580,2.57899999999996,0.05344827586206897,1.1,4.44,0.0
5,2,446,1.444999999999975,0.05605381165919283,1.4,4.42,0.0
6,3,579,2.5779999999999603,0.055267702936096716,1.7,4.20,0.0
7,0,190,-0.8109999999999998,0.05789473684210526,1.8,4.52,0.0
8,2,462,1.4609999999999732,0.05627705627705628,2.0,4.42,0.0
9,1,320,0.31899999999998885,0.053125,2.2,4.51,0.0
10,1,313,0.3119999999999896,0.05750798722044728,2.4,4.62,0.0
11,5,846,4.845000000000032,0.05555555555555555,2.8,4.25,0.0
12,0,196,-0.8049999999999998,0.05612244897959184,2.9,4.42,0.0
13,1,342,0.3409999999999864,0.05263157894736842,3.1,4.48,0.0
14,1,317,0.3159999999999892,0.056782334384858045,3.3,4.56,0.0
15,0,189,-0.8119999999999998,0.0582010582010582,3.4,4.71,0.0
16,3,592,2.590999999999959,0.05574324324324324,3.7,4.58,0.0
17,1,336,0.3349999999999871,0.05357142857142857,3.9,4.63,0.0
18,0,217,0.21600000000000016,0.05069124423963134,4.0,4.75,0.0
19,0,206,-0.7949999999999998,0.05825242718446602,4.1,4.86,0.0
20,0,180,-0.8209999999999998,0.05,4.2,4.99,0.0
21,1,331,0.32999999999998764,0.05740181268882175,4.4,5.02,0.0
22,0,179,-0.8219999999999998,0.055865921787709494,4.5,5.13,0.0
23,0,179,-0.8219999999999998,0.055865921787709494,4.6,5.24,0.0
24,0,179,-0.8219999999999998,0.055865921787709494,4.7,5.35,0.0
25,0,179,-0.8219999999999998,0.055865921787709494,4.8,5.46,0.0
26,1,313,0.3119999999999896,0.054313099041533544,4.9,5.48,0.0
27,1,335,0.3339999999999872,0.056716417910447764,5.1,5.46,0.0
28,1,313,0.3119999999999896,0.054313099041533544,5.3,5.47,0.0
29,0,179,-0.8219999999999998,0.055865921787709494,5.4,5.56,0.0
30,3,597,2.5959999999999583,0.05360134003350084,5.7,5.42,0.0
31,2,458,1.4569999999999736,0.056768558951965066,6.0,5.36,0.0
32,4,726,3.7249999999999925,0.05647382920110193,6.4,5.17,0.0
