episode,score,steps,total_reward,flap_rate,elapsed_s,eps_per_sec,gpu_memory_mb
0,4,713,3.711999999999988,0.0546984572230014,0.8,1.30,0.0
1,4,713,3.711999999999988,0.0546984572230014,3.8,0.53,0.0
2,4,713,3.711999999999988,0.0546984572230014,4.5,0.67,0.0
3,4,713,3.711999999999988,0.0546984572230014,5.2,0.77,0.0
4,4,713,3.711999999999988,0.0546984572230014,5.9,0.85,0.0
5,4,713,3.711999999999988,0.0546984572230014,6.6,0.91,0.0
6,4,713,3.711999999999988,0.0546984572230014,7.3,0.96,0.0
7,4,713,3.711999999999988,0.056100981767180924,8.0,1.00,0.0
8,4,713,3.711999999999988,0.056100981767180924,8.7,1.04,0.0
9,4,713,3.711999999999988,0.056100981767180924,9.4,1.07,0.0
10,4,713,3.711999999999988,0.0546984572230014,10.0,1.10,0.0
11,4,713,3.711999999999988,0.0546984572230014,10.7,1.12,0.0
12,4,713,3.711999999999988,0.0546984572230014,11.4,1.14,0.0
13,4,713,3.711999999999988,0.0546984572230014,12.1,1.16,0.0
14,4,713,3.711999999999988,0.0546984572230014,12.8,1.17,0.0
15,4,713,3.711999999999988,0.0546984572230014,13.5,1.19,0.0
16,4,713,3.711999999999988,0.0546984572230014,14.1,1.20,0.0
17,4,713,3.711999999999988,0.0546984572230014,14.8,1.21,0.0
18,4,713,3.711999999999988,0.056100981767180924,15.5,1.23,0.0
19,4,713,3.711999999999988,0.0546984572230014,16.2,1.24,0.0
20,4,713,3.711999999999988,0.056100981767180924,16.9,1.24,0.0
21,4,713,3.711999999999988,0.0546984572230014,17.6,1.25,0.0
22,4,713,3.711999999999988,0.0546984572230014,18.3,1.26,0.0
23,4,713,3.711999999999988,0.0546984572230014,18.9,1.27,0.0
24,4,713,3.711999999999988,0.0546984572230014,19.6,1.28,0.0
25,4,713,3.711999999999988,0.0546984572230014,20.3,1.28,0.0
26,4,713,3.711999999999988,0.056100981767180924,21.0,1.29,0.0
27,4,713,3.711999999999988,0.056100981767180924,21.7,1.29,0.0
28,4,713,3.711999999999988,0.056100981767180924,22.3,1.30,0.0
29,4,713,3.711999999999988,0.0546984572230014,23.0,1.30,0.0
30,4,713,3.711999999999988,0.056100981767180924,23.7,1.31,0.0
31,4,713,3.711999999999988,0.056100981767180924,24.3,1.31,0.0
32,4,713,3.711999999999988,0.0546984572230014,25.0,1.32,0.0
33,4,713,3.711999999999988,0.0546984572230014,25.8,1.32,0.0
34,4,713,3.711999999999988,0.0546984572230014,26.4,1.32,0.0
35,4,713,3.711999999999988,0.056100981767180924,27.1,1.33,0.0
36,4,713,3.711999999999988,0.0546984572230014,27.8,1.33,0.0
37,4,713,3.711999999999988,0.0546984572230014,28.5,1.34,0.0
38,4,713,3.711999999999988,0.0546984572230014,29.2,1.34,0.0
39,4,713,3.711999999999988,0.0546984572230014,29.8,1.34,0.0
40,4,713,3.711999999999988,0.0546984572230014,30.5,1.34,0.0
41,4,713,3.711999999999988,0.0546984572230014,31.2,1.34,0.0
42,4,713,3.711999999999988,0.056100981767180924,31.9,1.35,0.0
43,4,713,3.711999999999988,0.056100981767180924,32.6,1.35,0.0
44,4,713,3.711999999999988,0.0546984572230014,33.3,1.35,0.0
45,4,713,3.711999999999988,0.0546984572230014,34.0,1.35,0.0
46,4,713,3.711999999999988,0.0546984572230014,34.7,1.35,0.0
47,4,713,3.711999999999988,0.0546984572230014,35.4,1.36,0.0
48,4,713,3.711999999999988,0.056100981767180924,36.1,1.36,0.0
49,4,713,3.711999999999988,0.056100981767180924,36.8,1.36,0.0
50,4,713,3.711999999999988,0.0546984572230014,37.4,1.36,0.0
51,4,713,3.711999999999988,0.0546984572230014,38.1,1.36,0.0
52,4,713,3.711999999999988,0.056100981767180924,38.8,1.37,0.0
53,4,713,3.711999999999988,0.0546984572230014,39.5,1.37,0.0
54,4,713,3.711999999999988,0.056100981767180924,40.2,1.37,0.0
55,4,713,3.711999999999988,0.056100981767180924,40.8,1.37,0.0
56,4,713,3.711999999999988,0.0546984572230014,41.5,1.37,0.0
57,4,713,3.711999999999988,0.0546984572230014,42.2,1.37,0.0
58,4,713,3.711999999999988,0.0546984572230014,42.9,1.38,0.0
59,4,713,3.711999999999988,0.0546984572230014,43.6,1.38,0.0
