episode,score,steps,total_reward,flap_rate,elapsed_s,eps_per_sec,gpu_memory_mb
0,3,579,2.5779999999999603,0.055267702936096716,0.3,3.34,0.0
1,0,179,-0.8219999999999998,0.055865921787709494,0.4,5.01,0.0
2,5,846,4.845000000000032,0.05555555555555555,0.9,3.40,0.0
3,6,981,5.980000000000076,0.05606523955147808,1.4,2.86,0.0
4,0,215,-0.7859999999999998,0.05116279069767442,1.5,3.31,0.0
5,3,579,2.5779999999999603,0.055267702936096716,1.8,3.28,0.0
6,0,179,-0.8219999999999998,0.055865921787709494,1.9,3.64,0.0
7,0,196,-0.8049999999999998,0.05612244897959184,2.0,3.95,0.0
8,1,344,0.3429999999999862,0.05232558139534884,2.2,4.08,0.0
9,1,313,0.3119999999999896,0.054313099041533544,2.4,4.22,0.0
10,5,851,4.850000000000033,0.0564042303172738,2.8,3.87,0.0
11,4,720,3.7189999999999905,0.05416666666666667,3.2,3.73,0.0
12,1,339,0.33799999999998676,0.05309734513274336,3.4,3.84,0.0
13,1,313,0.3119999999999896,0.054313099041533544,3.6,3.94,0.0
14,0,191,-0.8099999999999998,0.05759162303664921,3.7,4.09,0.0
15,3,579,2.5779999999999603,0.055267702936096716,4.0,4.01,0.0
16,1,324,0.3229999999999884,0.05246913580246913,4.2,4.08,0.0
17,1,218,0.21700000000000008,0.05045871559633028,4.3,4.20,0.0
18,0,179,-0.8219999999999998,0.055865921787709494,4.4,4.34,0.0
19,2,446,1.444999999999975,0.05605381165919283,4.6,4.33,0.0
20,1,318,0.31699999999998907,0.05660377358490566,4.8,4.39,0.0
21,0,184,-0.8169999999999998,0.059782608695652176,4.9,4.49,0.0
22,1,333,0.3319999999999874,0.057057057057057055,5.1,4.53,0.0
23,0,192,-0.8089999999999998,0.057291666666666664,5.2,4.62,0.0
24,3,487,2.4859999999999705,0.053388090349075976,5.5,4.58,0.0
25,0,180,-0.8209999999999998,0.05,5.5,4.69,0.0
26,1,335,0.3339999999999872,0.056716417910447764,5.7,4.71,0.0
27,3,579,2.5779999999999603,0.05699481865284974,6.1,4.63,0.0
28,0,179,-0.8219999999999998,0.055865921787709494,6.1,4.72,0.0
29,3,596,2.5949999999999585,0.053691275167785234,6.5,4.64,0.0
