episode,score,steps,total_reward,flap_rate,elapsed_s,eps_per_sec,gpu_memory_mb
0,3,579,2.5779999999999603,0.055267702936096716,0.3,3.27,0.0
1,4,713,3.711999999999988,0.056100981767180924,0.7,2.81,0.0
2,2,446,1.444999999999975,0.05605381165919283,1.0,3.15,0.0
3,2,455,1.453999999999974,0.05714285714285714,1.2,3.29,0.0
4,1,313,0.3119999999999896,0.054313099041533544,1.4,3.62,0.0
5,2,450,1.4489999999999745,0.05333333333333334,1.6,3.69,0.0
6,0,192,-0.8089999999999998,0.057291666666666664,1.7,4.06,0.0
7,2,453,1.4519999999999742,0.05739514348785872,2.0,4.05,0.0
8,1,313,0.3119999999999896,0.05750798722044728,2.1,4.20,0.0
9,0,179,-0.8219999999999998,0.055865921787709494,2.2,4.46,0.0
10,3,579,2.5779999999999603,0.055267702936096716,2.5,4.33,0.0
11,1,315,0.3139999999999894,0.05396825396825397,2.7,4.43,0.0
12,0,217,0.21600000000000016,0.05069124423963134,2.8,4.62,0.0
13,0,188,-0.8129999999999998,0.05851063829787234,2.9,4.81,0.0
14,2,459,1.4579999999999735,0.05664488017429194,3.2,4.75,0.0
15,1,316,0.3149999999999893,0.056962025316455694,3.3,4.82,0.0
16,0,179,-0.8219999999999998,0.055865921787709494,3.4,4.97,0.0
17,8,1246,8.244999999999962,0.05537720706260032,4.1,4.42,0.0
18,0,190,-0.8109999999999998,0.05789473684210526,4.2,4.55,0.0
19,0,193,-0.8079999999999998,0.05699481865284974,4.3,4.68,0.0
20,0,180,-0.8209999999999998,0.05,4.4,4.81,0.0
21,1,313,0.3119999999999896,0.054313099041533544,4.5,4.86,0.0
22,1,313,0.3119999999999896,0.054313099041533544,4.7,4.90,0.0
23,1,314,0.3129999999999895,0.05732484076433121,4.9,4.94,0.0
24,4,713,3.711999999999988,0.056100981767180924,5.2,4.79,0.0
25,2,446,1.444999999999975,0.053811659192825115,5.5,4.76,0.0
26,0,179,-0.8219999999999998,0.055865921787709494,5.5,4.87,0.0
27,1,313,0.3119999999999896,0.054313099041533544,5.7,4.89,0.0
28,0,179,-0.8219999999999998,0.055865921787709494,5.8,4.98,0.0
29,1,313,0.3119999999999896,0.054313099041533544,6.0,5.02,0.0
30,2,463,1.461999999999973,0.056155507559395246,6.2,4.98,0.0
31,1,313,0.3119999999999896,0.05750798722044728,6.4,4.99,0.0
32,0,179,-0.8219999999999998,0.055865921787709494,6.5,5.07,0.0
33,0,179,-0.8219999999999998,0.055865921787709494,6.6,5.14,0.0
34,3,580,2.57899999999996,0.056896551724137934,6.9,5.05,0.0
35,2,446,1.444999999999975,0.05605381165919283,7.2,5.02,0.0
36,5,846,4.845000000000032,0.05555555555555555,7.6,4.86,0.0
37,3,579,2.5779999999999603,0.055267702936096716,7.9,4.79,0.0
38,0,179,-0.8219999999999998,0.055865921787709494,8.0,4.85,0.0
39,0,185,-0.8159999999999998,0.05945945945945946,8.1,4.91,0.0
40,4,713,3.711999999999988,0.056100981767180924,8.5,4.82,0.0
41,5,853,4.852000000000034,0.05627198124267292,9.0,4.69,0.0
42,3,579,2.5779999999999603,0.055267702936096716,9.3,4.64,0.0
43,2,446,1.444999999999975,0.05605381165919283,9.5,4.63,0.0
44,6,979,5.978000000000075,0.056179775280898875,10.0,4.49,0.0
45,3,579,2.5779999999999603,0.055267702936096716,10.3,4.46,0.0
46,2,455,1.453999999999974,0.05714285714285714,10.6,4.45,0.0
47,0,187,-0.8139999999999998,0.058823529411764705,10.7,4.50,0.0
48,0,179,-0.8219999999999998,0.055865921787709494,10.8,4.56,0.0
49,1,313,0.3119999999999896,0.054313099041533544,10.9,4.58,0.0
50,0,186,-0.8149999999999998,0.05913978494623656,11.0,4.63,0.0
51,1,313,0.3119999999999896,0.054313099041533544,11.2,4.65,0.0
52,0,212,-0.7889999999999998,0.05188679245283019,11.3,4.69,0.0
53,1,342,0.3409999999999864,0.05263157894736842,11.5,4.71,0.0
54,1,314,0.3129999999999895,0.05732484076433121,11.6,4.73,0.0
55,1,313,0.3119999999999896,0.05750798722044728,11.8,4.75,0.0
56,2,446,1.444999999999975,0.05605381165919283,12.0,4.74,0.0
57,5,846,4.845000000000032,0.05555555555555555,12.5,4.65,0.0
