episode,score,steps,total_reward,flap_rate,elapsed_s,eps_per_sec,gpu_memory_mb
0,4,713,3.711999999999988,0.056100981767180924,3.7,0.27,0.0
1,4,713,3.711999999999988,0.056100981767180924,11.4,0.18,0.0
2,4,713,3.711999999999988,0.0546984572230014,16.1,0.19,0.0
3,4,713,3.711999999999988,0.0546984572230014,20.6,0.19,0.0
4,4,713,3.711999999999988,0.056100981767180924,24.9,0.20,0.0
5,4,713,3.711999999999988,0.056100981767180924,29.0,0.21,0.0
6,4,713,3.711999999999988,0.0546984572230014,33.2,0.21,0.0
7,4,713,3.711999999999988,0.0546984572230014,37.8,0.21,0.0
8,4,713,3.711999999999988,0.0546984572230014,43.5,0.21,0.0
